Ten minute period number;Active occupant count in time period;Probability of transition to zero active occupants in next time period;Probability of transition to one active occupant in next time period;Probability of transition to two active occupants in next time period;Probability of transition to three active occupants in next time period;Probability of transition to four active occupants in next time period;Probability of transition to five active occupants in next time period;Probability of transition to six active occupants in next time period
21;4;0;0;0;0;0;0;0
21;5;0;0;0;0;0;0;0
21;6;0;0;0;0;0;0;0
22;0;0.994002999;0.005997001;0;0;0;0;0
22;1;0.157894737;0.842105263;0;0;0;0;0
22;2;0;1;0;0;0;0;0
22;3;0;0;0;0;0;0;0
22;4;0;0;0;0;0;0;0
22;5;0;0;0;0;0;0;0
22;6;0;0;0;0;0;0;0
23;0;0.998498498;0;0.001501502;0;0;0;0
23;1;0.285714286;0.714285714;0;0;0;0;0
23;2;0;0;0;0;0;0;0
23;3;0;0;0;0;0;0;0
23;4;0;0;0;0;0;0;0
23;5;0;0;0;0;0;0;0
23;6;0;0;0;0;0;0;0
24;0;0.979135618;0.019374069;0.001490313;0;0;0;0
24;1;0.8;0.133333333;0.066666667;0;0;0;0
24;2;1;0;0;0;0;0;0
24;3;0;0;0;0;0;0;0
24;4;0;0;0;0;0;0;0
24;5;0;0;0;0;0;0;0
24;6;0;0;0;0;0;0;0
25;0;0.995522388;0.004477612;0;0;0;0;0
25;1;0.133333333;0.866666667;0;0;0;0;0
25;2;0.5;0;0.5;0;0;0;0
25;3;0;0;0;0;0;0;0
25;4;0;0;0;0;0;0;0
25;5;0;0;0;0;0;0;0
25;6;0;0;0;0;0;0;0
26;0;0.991044776;0.008955224;0;0;0;0;0
26;1;0.1875;0.8125;0;0;0;0;0
26;2;0;1;0;0;0;0;0
26;3;0;0;0;0;0;0;0
26;4;0;0;0;0;0;0;0
26;5;0;0;0;0;0;0;0
26;6;0;0;0;0;0;0;0
27;0;0.991004498;0.008995502;0;0;0;0;0
27;1;0.2;0.75;0.05;0;0;0;0
27;2;0;0;0;0;0;0;0
27;3;0;0;0;0;0;0;0
27;4;0;0;0;0;0;0;0
27;5;0;0;0;0;0;0;0
27;6;0;0;0;0;0;0;0
28;0;0.992481203;0.007518797;0;0;0;0;0
28;1;0.333333333;0.666666667;0;0;0;0;0
28;2;0;1;0;0;0;0;0
28;3;0;0;0;0;0;0;0
28;4;0;0;0;0;0;0;0
28;5;0;0;0;0;0;0;0
28;6;0;0;0;0;0;0;0
29;0;0.982008996;0.016491754;0.00149925;0;0;0;0
29;1;0.3;0.65;0.05;0;0;0;0
29;2;0;0;0;0;0;0;0
29;3;0;0;0;0;0;0;0
29;4;0;0;0;0;0;0;0
29;5;0;0;0;0;0;0;0
29;6;0;0;0;0;0;0;0
30;0;0.974281392;0.02118003;0.004538578;0;0;0;0
30;1;0.125;0.833333333;0.041666667;0;0;0;0
30;2;0;1;0;0;0;0;0
30;3;0;0;0;0;0;0;0
30;4;0;0;0;0;0;0;0
30;5;0;0;0;0;0;0;0
30;6;0;0;0;0;0;0;0
31;0;0.979907264;0.020092736;0;0;0;0;0
31;1;0.25;0.694444444;0.055555556;0;0;0;0
31;2;0.25;0;0.75;0;0;0;0
31;3;0;0;0;0;0;0;0
31;4;0;0;0;0;0;0;0
31;5;0;0;0;0;0;0;0
31;6;0;0;0;0;0;0;0
32;0;0.97826087;0.02173913;0;0;0;0;0
32;1;0.184210526;0.763157895;0.052631579;0;0;0;0
32;2;0;0.2;0.8;0;0;0;0
32;3;0;0;0;0;0;0;0
32;4;0;0;0;0;0;0;0
32;5;0;0;0;0;0;0;0
32;6;0;0;0;0;0;0;0
33;0;0.973312402;0.026687598;0;0;0;0;0
33;1;0.25;0.681818182;0.068181818;0;0;0;0
33;2;0;0.333333333;0.666666667;0;0;0;0
33;3;0;0;0;0;0;0;0
33;4;0;0;0;0;0;0;0
33;5;0;0;0;0;0;0;0
33;6;0;0;0;0;0;0;0
34;0;0.973058637;0.023771791;0.003169572;0;0;0;0
34;1;0.102040816;0.836734694;0.06122449;0;0;0;0
34;2;0;0.285714286;0.428571429;0.285714286;0;0;0
34;3;0;0;0;0;0;0;0
34;4;0;0;0;0;0;0;0
34;5;0;0;0;0;0;0;0
34;6;0;0;0;0;0;0;0
35;0;0.95638126;0.04361874;0;0;0;0;0
35;1;0.189655172;0.775862069;0.034482759;0;0;0;0
35;2;0.125;0.125;0.75;0;0;0;0
35;3;0;0;0;1;0;0;0
35;4;0;0;0;0;0;0;0
35;5;0;0;0;0;0;0;0
35;6;0;0;0;0;0;0;0
36;0;0.905629139;0.086092715;0.008278146;0;0;0;0
36;1;0.164383562;0.739726027;0.095890411;0;0;0;0
36;2;0;0.125;0.875;0;0;0;0
36;3;0;0;0.5;0.5;0;0;0
36;4;0;0;0;0;0;0;0
36;5;0;0;0;0;0;0;0
36;6;0;0;0;0;0;0;0
37;0;0.935599284;0.059033989;0.005366726;0;0;0;0
37;1;0.121495327;0.794392523;0.08411215;0;0;0;0
37;2;0.05;0.15;0.8;0;0;0;0
37;3;0;0;0;1;0;0;0
37;4;0;0;0;0;0;0;0
37;5;0;0;0;0;0;0;0
37;6;0;0;0;0;0;0;0
38;0;0.932960894;0.063314711;0.003724395;0;0;0;0
38;1;0.115702479;0.79338843;0.082644628;0.008264463;0;0;0
38;2;0;0.142857143;0.75;0.107142857;0;0;0
38;3;0;0;0;1;0;0;0
38;4;0;0;0;0;0;0;0
38;5;0;0;0;0;0;0;0
38;6;0;0;0;0;0;0;0
39;0;0.866019417;0.112621359;0.015533981;0.005825243;0;0;0
39;1;0.104477612;0.746268657;0.141791045;0.007462687;0;0;0
39;2;0.060606061;0.151515152;0.757575758;0.03030303;0;0;0
39;3;0;0;0.4;0.6;0;0;0
39;4;0;0;0;0;0;0;0
39;5;0;0;0;0;0;0;0
39;6;0;0;0;0;0;0;0
40;0;0.887445887;0.108225108;0.004329004;0;0;0;0
40;1;0.042944785;0.809815951;0.128834356;0.018404908;0;0;0
40;2;0.055555556;0.092592593;0.796296296;0.055555556;0;0;0
40;3;0;0;0;1;0;0;0
40;4;0;0;0;0;0;0;0
40;5;0;0;0;0;0;0;0
40;6;0;0;0;0;0;0;0
41;0;0.876190476;0.10952381;0.011904762;0.002380952;0;0;0
41;1;0.07486631;0.759358289;0.160427807;0.005347594;0;0;0
41;2;0.045454545;0.181818182;0.666666667;0.106060606;0;0;0
41;3;0;0;0.285714286;0.714285714;0;0;0
41;4;0;0;0;0;0;0;0
41;5;0;0;0;0;0;0;0
41;6;0;0;0;0;0;0;0
42;0;0.690909091;0.220779221;0.072727273;0.015584416;0;0;0
42;1;0.135;0.585;0.235;0.045;0;0;0
42;2;0.012048193;0.108433735;0.662650602;0.21686747;0;0;0
42;3;0.052631579;0.052631579;0.105263158;0.789473684;0;0;0
42;4;0;0;0;0;0;0;0
42;5;0;0;0;0;0;0;0
42;6;0;0;0;0;0;0;0
43;0;0.779661017;0.189830508;0.030508475;0;0;0;0
43;1;0.056603774;0.745283019;0.183962264;0.014150943;0;0;0
43;2;0.007575758;0.113636364;0.810606061;0.068181818;0;0;0
43;3;0;0.020833333;0.104166667;0.875;0;0;0
43;4;0;0;0;0;0;0;0
43;5;0;0;0;0;0;0;0
43;6;0;0;0;0;0;0;0
44;0;0.851851852;0.127572016;0.020576132;0;0;0;0
44;1;0.034782609;0.743478261;0.2;0.02173913;0;0;0
44;2;0;0.1375;0.7625;0.1;0;0;0
44;3;0;0.018518519;0.111111111;0.87037037;0;0;0
44;4;0;0;0;0;0;0;0
44;5;0;0;0;0;0;0;0
44;6;0;0;0;0;0;0;0
45;0;0.748837209;0.218604651;0.03255814;0;0;0;0
45;1;0.071111111;0.662222222;0.248888889;0.017777778;0;0;0
45;2;0.022346369;0.089385475;0.737430168;0.150837989;0;0;0
45;3;0.029411765;0.044117647;0.161764706;0.764705882;0;0;0
45;4;0;0;0;0;0;0;0
45;5;0;0;0;0;0;0;0
45;6;0;0;0;0;0;0;0
46;0;0.846994536;0.120218579;0.021857923;0.010928962;0;0;0
46;1;0.088372093;0.725581395;0.16744186;0.018604651;0;0;0
46;2;0.009708738;0.097087379;0.815533981;0.077669903;0;0;0
46;3;0.012048193;0.048192771;0.156626506;0.78313253;0;0;0
46;4;0;0;0;0;0;0;0
46;5;0;0;0;0;0;0;0
46;6;0;0;0;0;0;0;0
47;0;0.88700565;0.096045198;0.016949153;0;0;0;0
47;1;0.118811881;0.707920792;0.163366337;0.00990099;0;0;0
47;2;0.036199095;0.153846154;0.728506787;0.081447964;0;0;0
47;3;0;0.057471264;0.206896552;0.735632184;0;0;0
47;4;0;0;0;0;0;0;0
47;5;0;0;0;0;0;0;0
47;6;0;0;0;0;0;0;0
48;0;0.740740741;0.232804233;0.026455026;0;0;0;0
48;1;0.085427136;0.738693467;0.155778894;0.020100503;0;0;0
48;2;0.023255814;0.162790698;0.711627907;0.102325581;0;0;0
48;3;0.011904762;0.083333333;0.214285714;0.69047619;0;0;0
48;4;0;0;0;0;0;0;0
48;5;0;0;0;0;0;0;0
48;6;0;0;0;0;0;0;0
49;0;0.889570552;0.085889571;0.024539877;0;0;0;0
49;1;0.13304721;0.78111588;0.072961373;0.012875536;0;0;0
49;2;0.053140097;0.149758454;0.748792271;0.048309179;0;0;0
49;3;0;0.05952381;0.202380952;0.738095238;0;0;0
49;4;0;0;0;0;0;0;0
49;5;0;0;0;0;0;0;0
49;6;0;0;0;0;0;0;0
50;0;0.930481283;0.069518717;0;0;0;0;0
50;1;0.168103448;0.75;0.081896552;0;0;0;0
50;2;0.093264249;0.196891192;0.694300518;0.015544041;0;0;0
50;3;0.013333333;0.053333333;0.24;0.693333333;0;0;0
50;4;0;0;0;0;0;0;0
50;5;0;0;0;0;0;0;0
50;6;0;0;0;0;0;0;0
51;0;0.896551724;0.099137931;0.004310345;0;0;0;0
51;1;0.187772926;0.742358079;0.069868996;0;0;0;0
51;2;0.105263158;0.222222222;0.637426901;0.035087719;0;0;0
51;3;0.090909091;0.181818182;0.345454545;0.381818182;0;0;0
51;4;0;0;0;0;0;0;0
51;5;0;0;0;0;0;0;0
51;6;0;0;0;0;0;0;0
52;0;0.945255474;0.054744526;0;0;0;0;0
52;1;0.199170124;0.738589212;0.049792531;0.012448133;0;0;0
52;2;0.137931034;0.186206897;0.634482759;0.04137931;0;0;0
52;3;0.111111111;0.074074074;0.222222222;0.592592593;0;0;0
52;4;0;0;0;0;0;0;0
52;5;0;0;0;0;0;0;0
52;6;0;0;0;0;0;0;0
53;0;0.936363636;0.063636364;0;0;0;0;0
53;1;0.198198198;0.752252252;0.04954955;0;0;0;0
53;2;0.136363636;0.245454545;0.590909091;0.027272727;0;0;0
53;3;0;0.2;0.24;0.56;0;0;0
53;4;0;0;0;0;0;0;0
53;5;0;0;0;0;0;0;0
53;6;0;0;0;0;0;0;0
54;0;0.861413043;0.116847826;0.02173913;0;0;0;0
54;1;0.086363636;0.827272727;0.086363636;0;0;0;0
54;2;0.012195122;0.134146341;0.841463415;0.012195122;0;0;0
54;3;0;0;0.058823529;0.941176471;0;0;0
54;4;0;0;0;0;0;0;0
54;5;0;0;0;0;0;0;0
54;6;0;0;0;0;0;0;0
55;0;0.884272997;0.103857567;0.011869436;0;0;0;0
55;1;0.084745763;0.855932203;0.059322034;0;0;0;0
55;2;0.010309278;0.051546392;0.87628866;0.06185567;0;0;0
55;3;0;0;0.058823529;0.941176471;0;0;0
55;4;0;0;0;0;0;0;0
55;5;0;0;0;0;0;0;0
55;6;0;0;0;0;0;0;0
56;0;0.940438871;0.059561129;0;0;0;0;0
56;1;0.074380165;0.871900826;0.053719008;0;0;0;0
56;2;0.028846154;0.125;0.817307692;0.028846154;0;0;0
56;3;0;0.045454545;0.136363636;0.818181818;0;0;0
56;4;0;0;0;0;0;0;0
56;5;0;0;0;0;0;0;0
56;6;0;0;0;0;0;0;0
57;0;0.92834891;0.07165109;0;0;0;0;0
57;1;0.086065574;0.87704918;0.036885246;0;0;0;0
57;2;0;0.138613861;0.861386139;0;0;0;0
57;3;0;0;0.047619048;0.952380952;0;0;0
57;4;0;0;0;0;0;0;0
57;5;0;0;0;0;0;0;0
57;6;0;0;0;0;0;0;0
58;0;0.978056426;0.021943574;0;0;0;0;0
58;1;0.067729084;0.892430279;0.039840637;0;0;0;0
58;2;0.020618557;0.051546392;0.927835052;0;0;0;0
58;3;0;0;0.15;0.85;0;0;0
58;4;0;0;0;0;0;0;0
58;5;0;0;0;0;0;0;0
58;6;0;0;0;0;0;0;0
