Occupancy Model;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Transition Probability Matrix;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
One resident house;;;;;;;;;;;;;;;
Weekend;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ten minute period number;Combined State  @t;Combined State  @t+1;;;;;;;;;;;;;
;;00;01;10;11;;;;;;;;;;
1;00;0.9697;0;0.015152;0.015152;;;;;;;;;;
1;01;0.057143;0.85;0.028571;0.064286;;;;;;;;;;
1;10;0;0;0.9953;0.0046985;;;;;;;;;;
1;11;0;0.0045872;0.20183;0.79358;;;;;;;;;;
2;00;0.98611;0.013889;0;0;;;;;;;;;;
2;01;0.041667;0.89167;0.0083333;0.058333;;;;;;;;;;
2;10;0;0;0.99848;0.0015152;;;;;;;;;;
2;11;0;0.005291;0.18519;0.80952;;;;;;;;;;
3;00;0.98684;0;0;0.013158;;;;;;;;;;
3;01;0.045872;0.87156;0.0091743;0.073394;;;;;;;;;;
3;10;0;0;0.99631;0.0036928;;;;;;;;;;
3;11;0;0;0.19753;0.80247;;;;;;;;;;
4;00;1;0;0;0;;;;;;;;;;
4;01;0.031579;0.92632;0.010526;0.031579;;;;;;;;;;
4;10;0;0;0.99711;0.0028944;;;;;;;;;;
4;11;0;0;0.15972;0.84028;;;;;;;;;;
5;00;0.9759;0.024096;0;0;;;;;;;;;;
5;01;0.011364;0.97727;0;0.011364;;;;;;;;;;
5;10;0;0;0.99501;0.0049929;;;;;;;;;;
5;11;0;0;0.20313;0.79688;;;;;;;;;;
6;00;0.9878;0.012195;0;0;;;;;;;;;;
6;01;0.045455;0.88636;0.011364;0.056818;;;;;;;;;;
6;10;0.00070373;0;0.99367;0.0056298;;;;;;;;;;
6;11;0;0;0.43636;0.56364;;;;;;;;;;
7;00;1;0;0;0;;;;;;;;;;
7;01;0;0.92405;0.037975;0.037975;;;;;;;;;;
7;10;0;0;0.99726;0.0027379;;;;;;;;;;
7;11;0;0.013333;0.17333;0.81333;;;;;;;;;;
8;00;1;0;0;0;;;;;;;;;;
8;01;0.027027;0.89189;0.027027;0.054054;;;;;;;;;;
8;10;0;0;0.99728;0.0027155;;;;;;;;;;
8;11;0;0;0.20588;0.79412;;;;;;;;;;
9;00;0.97727;0.022727;0;0;;;;;;;;;;
9;01;0.030303;0.89394;0.030303;0.045455;;;;;;;;;;
9;10;0;0;0.99461;0.0053872;;;;;;;;;;
9;11;0;0;0.22581;0.77419;;;;;;;;;;
10;00;1;0;0;0;;;;;;;;;;
10;01;0.04918;0.83607;0.032787;0.081967;;;;;;;;;;
10;10;0;0;0.99866;0.0013396;;;;;;;;;;
10;11;0;0;0.16949;0.83051;;;;;;;;;;
11;00;0.98901;0.010989;0;0;;;;;;;;;;
11;01;0.039216;0.86275;0.039216;0.058824;;;;;;;;;;
11;10;0;0;0.99601;0.003992;;;;;;;;;;
11;11;0;0;0.21429;0.78571;;;;;;;;;;
12;00;0.98913;0;0.01087;0;;;;;;;;;;
12;01;0.066667;0.86667;0;0.066667;;;;;;;;;;
12;10;0;0;0.99603;0.0039709;;;;;;;;;;
12;11;0;0;0.37736;0.62264;;;;;;;;;;
13;00;0.97872;0.010638;0;0.010638;;;;;;;;;;
13;01;0.051282;0.92308;0.025641;0;;;;;;;;;;
13;10;0;0;0.99476;0.0052425;;;;;;;;;;
13;11;0;0;0.11905;0.88095;;;;;;;;;;
14;00;1;0;0;0;;;;;;;;;;
14;01;0.081081;0.91892;0;0;;;;;;;;;;
14;10;0;0;0.99672;0.0032808;;;;;;;;;;
14;11;0;0;0.30435;0.69565;;;;;;;;;;
15;00;1;0;0;0;;;;;;;;;;
15;01;0;0.88235;0.058824;0.058824;;;;;;;;;;
15;10;0;0;0.99804;0.0019569;;;;;;;;;;
15;11;0;0;0.24324;0.75676;;;;;;;;;;
16;00;1;0;0;0;;;;;;;;;;
16;01;0.066667;0.7;0.066667;0.16667;;;;;;;;;;
16;10;0;0;0.9974;0.0025957;;;;;;;;;;
16;11;0;0;0.12121;0.87879;;;;;;;;;;
17;00;1;0;0;0;;;;;;;;;;
17;01;0;1;0;0;;;;;;;;;;
17;10;0;0;0.99222;0.0077771;;;;;;;;;;
17;11;0;0;0.39474;0.60526;;;;;;;;;;
18;00;0.9899;0.010101;0;0;;;;;;;;;;
18;01;0.047619;0.80952;0.047619;0.095238;;;;;;;;;;
18;10;0;0;0.99353;0.0064683;;;;;;;;;;
18;11;0;0;0.34286;0.65714;;;;;;;;;;
19;00;1;0;0;0;;;;;;;;;;
19;01;0.055556;0.94444;0;0;;;;;;;;;;
19;10;0;0;0.99548;0.004519;;;;;;;;;;
19;11;0;0;0.37143;0.62857;;;;;;;;;;
20;00;1;0;0;0;;;;;;;;;;
20;01;0;1;0;0;;;;;;;;;;
20;10;0;0;0.99614;0.0038585;;;;;;;;;;
20;11;0;0.034483;0.27586;0.68966;;;;;;;;;;
21;00;1;0;0;0;;;;;;;;;;
21;01;0.055556;0.94444;0;0;;;;;;;;;;
21;10;0;0;0.99807;0.0019268;;;;;;;;;;
21;11;0;0;0.34615;0.65385;;;;;;;;;;
22;00;0.9901;0.009901;0;0;;;;;;;;;;
22;01;0;0.94118;0;0.058824;;;;;;;;;;
22;10;0;0;0.99936;0.0006398;;;;;;;;;;
22;11;0;0;0.05;0.95;;;;;;;;;;
23;00;1;0;0;0;;;;;;;;;;
23;01;0;0.94118;0;0.058824;;;;;;;;;;
23;10;0;0;0.9968;0.003199;;;;;;;;;;
23;11;0;0;0.28571;0.71429;;;;;;;;;;
24;00;1;0;0;0;;;;;;;;;;
24;01;0;0.94118;0;0.058824;;;;;;;;;;
24;10;0;0;0.9968;0.003199;;;;;;;;;;
