Ten minute period number;Active occupant count in time period;Probability of transition to zero active occupants in next time period;Probability of transition to one active occupant in next time period;Probability of transition to two active occupants in next time period;Probability of transition to three active occupants in next time period;Probability of transition to four active occupants in next time period;Probability of transition to five active occupants in next time period;Probability of transition to six active occupants in next time period
1;0;0.973333333;0.016666667;0.01;0;0;0;0
1;1;0.239130435;0.72826087;0.032608696;0;0;0;0
1;2;0.12195122;0.317073171;0.512195122;0.048780488;0;0;0
1;3;0.142857143;0.285714286;0;0.571428571;0;0;0
1;4;0;0;0;0;1;0;0
1;5;0;0;0;0;0;0;0
1;6;0;0;0;0;0;0;0
2;0;0.984375;0.0125;0.003125;0;0;0;0
2;1;0.126436782;0.850574713;0.022988506;0;0;0;0
2;2;0.037037037;0.296296296;0.62962963;0.037037037;0;0;0
2;3;0;0.166666667;0.166666667;0.666666667;0;0;0
2;4;0;0;0;0.25;0.75;0;0
2;5;0;0;0;0;0;0;0
2;6;0;0;0;0;0;0;0
3;0;0.993883792;0.006116208;0;0;0;0;0
3;1;0.206896552;0.770114943;0.022988506;0;0;0;0
3;2;0.142857143;0.095238095;0.761904762;0;0;0;0
3;3;0;0;0.333333333;0.5;0.166666667;0;0
3;4;0;0;0;0.333333333;0.666666667;0;0
3;5;0;0;0;0;0;0;0
3;6;0;0;0;0;0;0;0
4;0;0.997109827;0.002890173;0;0;0;0;0
4;1;0.14084507;0.85915493;0;0;0;0;0
4;2;0;0.35;0.65;0;0;0;0
4;3;0;0;0.25;0.75;0;0;0
4;4;0;0;0;0.333333333;0.666666667;0;0
4;5;0;0;0;0;0;0;0
4;6;0;0;0;0;0;0;0
5;0;0.985915493;0.014084507;0;0;0;0;0
5;1;0.15942029;0.811594203;0.028985507;0;0;0;0
5;2;0.071428571;0.214285714;0.642857143;0.071428571;0;0;0
5;3;0;0;0.75;0.25;0;0;0
5;4;0;0;0;0.5;0.5;0;0
5;5;0;0;0;0;0;0;0
5;6;0;0;0;0;0;0;0
6;0;0.991712707;0.008287293;0;0;0;0;0
6;1;0.515625;0.484375;0;0;0;0;0
6;2;0.214285714;0.214285714;0.571428571;0;0;0;0
6;3;0;0;0.333333333;0.333333333;0.333333333;0;0
6;4;0;0;0;1;0;0;0
