Ten minute period number;Active occupant count in time period;Probability of transition to zero active occupants in next time period;Probability of transition to one active occupant in next time period;Probability of transition to two active occupants in next time period;Probability of transition to three active occupants in next time period;Probability of transition to four active occupants in next time period;Probability of transition to five active occupants in next time period;Probability of transition to six active occupants in next time period
1;0;0.987616099;0.012383901;0;0;0;0;0
1;1;0.225;0.775;0;0;0;0;0
1;2;0.111111111;0.185185185;0.666666667;0.037037037;0;0;0
1;3;0;0.111111111;0.222222222;0.666666667;0;0;0
1;4;0;0;0;1;0;0;0
1;5;0;0;0;0;0;0;0
1;6;0;0;0;0;0;0;0
2;0;0.991176471;0.008823529;0;0;0;0;0
2;1;0.097222222;0.861111111;0.041666667;0;0;0;0
2;2;0.05;0.3;0.65;0;0;0;0
2;3;0;0.125;0.25;0.625;0;0;0
2;4;0;0;0;0;0;0;0
2;5;0;0;0;0;0;0;0
2;6;0;0;0;0;0;0;0
3;0;0.997101449;0.002898551;0;0;0;0;0
3;1;0.208333333;0.791666667;0;0;0;0;0
3;2;0.055555556;0.111111111;0.833333333;0;0;0;0
3;3;0.2;0.2;0;0.6;0;0;0
3;4;0;0;0;0;0;0;0
3;5;0;0;0;0;0;0;0
3;6;0;0;0;0;0;0;0
4;0;0.991689751;0.008310249;0;0;0;0;0
4;1;0.147540984;0.836065574;0.016393443;0;0;0;0
4;2;0.066666667;0.266666667;0.666666667;0;0;0;0
4;3;0;0;0.333333333;0.666666667;0;0;0
4;4;0;0;0;0;0;0;0
4;5;0;0;0;0;0;0;0
4;6;0;0;0;0;0;0;0
5;0;0.991847826;0.008152174;0;0;0;0;0
5;1;0.206896552;0.75862069;0.034482759;0;0;0;0
5;2;0.083333333;0.25;0.666666667;0;0;0;0
5;3;0;0;0;1;0;0;0
5;4;0;0;0;0;0;0;0
5;5;0;0;0;0;0;0;0
5;6;0;0;0;0;0;0;0
6;0;0.981481481;0.015873016;0.002645503;0;0;0;0
6;1;0.48;0.48;0.04;0;0;0;0
6;2;0.1;0.4;0.5;0;0;0;0
6;3;0.5;0;0.5;0;0;0;0
6;4;0;0;0;0;0;0;0
6;5;0;0;0;0;0;0;0
6;6;0;0;0;0;0;0;0
7;0;0.994962217;0.002518892;0;0.002518892;0;0;0
