Ten minute period number;Active occupant count in time period;Probability of transition to zero active occupants in next time period;Probability of transition to one active occupant in next time period;Probability of transition to two active occupants in next time period;Probability of transition to three active occupants in next time period;Probability of transition to four active occupants in next time period;Probability of transition to five active occupants in next time period;Probability of transition to six active occupants in next time period
21;3;0;0;0;0;0;0;0
21;4;0;0;0;0;0;0;0
21;5;0;0;0;0;0;0;0
21;6;0;0;0;0;0;0;0
22;0;1;0;0;0;0;0;0
22;1;0.090909091;0.909090909;0;0;0;0;0
22;2;0;0;0;0;0;0;0
22;3;0;0;0;0;0;0;0
22;4;0;0;0;0;0;0;0
22;5;0;0;0;0;0;0;0
22;6;0;0;0;0;0;0;0
23;0;0.983050847;0.016949153;0;0;0;0;0
23;1;0.2;0.8;0;0;0;0;0
23;2;0;0;0;0;0;0;0
23;3;0;0;0;0;0;0;0
23;4;0;0;0;0;0;0;0
23;5;0;0;0;0;0;0;0
23;6;0;0;0;0;0;0;0
24;0;0.966101695;0.016949153;0;0.008474576;0.008474576;0;0
24;1;1;0;0;0;0;0;0
24;2;0;0;0;0;0;0;0
24;3;0;0;0;0;0;0;0
24;4;0;0;0;0;0;0;0
24;5;0;0;0;0;0;0;0
24;6;0;0;0;0;0;0;0
25;0;0.983870968;0.016129032;0;0;0;0;0
25;1;0;1;0;0;0;0;0
25;2;0;0;0;0;0;0;0
25;3;0;0;0;1;0;0;0
25;4;0;0;0;0;1;0;0
25;5;0;0;0;0;0;0;0
25;6;0;0;0;0;0;0;0
26;0;0.991803279;0.008196721;0;0;0;0;0
26;1;0;1;0;0;0;0;0
26;2;0;0;0;0;0;0;0
26;3;0;0;1;0;0;0;0
26;4;0;0;0;0;1;0;0
26;5;0;0;0;0;0;0;0
26;6;0;0;0;0;0;0;0
27;0;1;0;0;0;0;0;0
27;1;0;1;0;0;0;0;0
27;2;0;0;1;0;0;0;0
27;3;0;0;0;0;0;0;0
27;4;0;0;0;0;1;0;0
27;5;0;0;0;0;0;0;0
27;6;0;0;0;0;0;0;0
28;0;1;0;0;0;0;0;0
28;1;0;1;0;0;0;0;0
28;2;0;0;1;0;0;0;0
28;3;0;0;0;0;0;0;0
28;4;0;0;0;0;1;0;0
28;5;0;0;0;0;0;0;0
28;6;0;0;0;0;0;0;0
29;0;1;0;0;0;0;0;0
29;1;0.4;0.6;0;0;0;0;0
29;2;0;1;0;0;0;0;0
29;3;0;0;0;0;0;0;0
29;4;0;0;0;0;1;0;0
29;5;0;0;0;0;0;0;0
29;6;0;0;0;0;0;0;0
30;0;0.991869919;0.008130081;0;0;0;0;0
30;1;0.25;0.75;0;0;0;0;0
30;2;0;0;0;0;0;0;0
30;3;0;0;0;0;0;0;0
30;4;0;0;0;0;1;0;0
30;5;0;0;0;0;0;0;0
30;6;0;0;0;0;0;0;0
31;0;0.975609756;0.024390244;0;0;0;0;0
31;1;0.25;0.75;0;0;0;0;0
31;2;0;0;0;0;0;0;0
31;3;0;0;0;0;0;0;0
31;4;0;0;0;1;0;0;0
31;5;0;0;0;0;0;0;0
31;6;0;0;0;0;0;0;0
32;0;1;0;0;0;0;0;0
32;1;0.333333333;0.666666667;0;0;0;0;0
32;2;0;0;0;0;0;0;0
32;3;0;0;0;1;0;0;0
32;4;0;0;0;0;0;0;0
32;5;0;0;0;0;0;0;0
32;6;0;0;0;0;0;0;0
33;0;0.975609756;0.016260163;0.008130081;0;0;0;0
33;1;0;1;0;0;0;0;0
33;2;0;0;0;0;0;0;0
33;3;0;0;0;1;0;0;0
