Ten minute period number;Active occupant count in time period;Probability of transition to zero active occupants in next time period;Probability of transition to one active occupant in next time period;Probability of transition to two active occupants in next time period;Probability of transition to three active occupants in next time period;Probability of transition to four active occupants in next time period;Probability of transition to five active occupants in next time period;Probability of transition to six active occupants in next time period
1;0;0.976470588;0.023529412;0;0;0;0;0
1;1;0.181818182;0.818181818;0;0;0;0;0
1;2;0.266666667;0.133333333;0.533333333;0.066666667;0;0;0
1;3;0;0;0;1;0;0;0
1;4;0;0;0;1;0;0;0
1;5;0;0;0;0;0;1;0
1;6;0;0;0;0;0;0;0
2;0;1;0;0;0;0;0;0
2;1;0.090909091;0.863636364;0.045454545;0;0;0;0
2;2;0;0.25;0.75;0;0;0;0
2;3;0;0;0.333333333;0.666666667;0;0;0
2;4;0;0;0;0;0;0;0
2;5;0;0;0;0;0;1;0
2;6;0;0;0;0;0;0;0
3;0;1;0;0;0;0;0;0
3;1;0.380952381;0.619047619;0;0;0;0;0
3;2;0;0.25;0.75;0;0;0;0
3;3;0;0;0;1;0;0;0
3;4;0;0;0;0;0;0;0
3;5;0;0;0;0;0;1;0
3;6;0;0;0;0;0;0;0
4;0;0.99009901;0.00990099;0;0;0;0;0
4;1;0.2;0.8;0;0;0;0;0
4;2;0;0.166666667;0.833333333;0;0;0;0
4;3;0;0;0.5;0.5;0;0;0
4;4;0;0;0;0;0;0;0
4;5;0;0;0;0;0;1;0
4;6;0;0;0;0;0;0;0
5;0;0.990291262;0.009708738;0;0;0;0;0
5;1;0.357142857;0.642857143;0;0;0;0;0
5;2;0.166666667;0.333333333;0.5;0;0;0;0
5;3;0;0;0;1;0;0;0
5;4;0;0;0;0;0;0;0
5;5;0;0;0;1;0;0;0
5;6;0;0;0;0;0;0;0
6;0;0.972222222;0.018518519;0.009259259;0;0;0;0
6;1;0.5;0.5;0;0;0;0;0
6;2;0;0;1;0;0;0;0
6;3;0;0;0.5;0.5;0;0;0
6;4;0;0;0;0;0;0;0
6;5;0;0;0;0;0;0;0
6;6;0;0;0;0;0;0;0
7;0;0.981981982;0.018018018;0;0;0;0;0
7;1;0.25;0.75;0;0;0;0;0
7;2;0.2;0.2;0.6;0;0;0;0
7;3;0;0;1;0;0;0;0
7;4;0;0;0;0;0;0;0
7;5;0;0;0;0;0;0;0
7;6;0;0;0;0;0;0;0
8;0;1;0;0;0;0;0;0
