Weekend active occupancy distribution between 00:00 and 00:10;;;;;;
Number of residents in the house;1;2;3;4;5;6
Occupancy state;;;;;;
00;0.038800705;0.010945274;0.004354136;0.002252252;0.0078125;0
01;0.082304527;0.011442786;0.007256894;0;0;0
02;0;0.045273632;0.010159652;0;0;0
03;0;0;0.010159652;0.002252252;0;0
04;0;0;0;0.006756757;0;0
05;0;0;0;0;0;0
06;0;0;0;0;0;0
10;0.750734862;0.03880597;0.005805515;0.006756757;0;0
11;0.128159906;0.052238806;0.014513788;0.009009009;0;0
12;0;0.02238806;0.030478955;0.009009009;0.015625;0
13;0;0;0.01161103;0.011261261;0.0078125;0
14;0;0;0;0.006756757;0;0
15;0;0;0;0;0;0
16;0;0;0;0;0;0
20;0;0.650746269;0.07256894;0.018018018;0;0
21;0;0.112935323;0.136429608;0.02027027;0.015625;0
22;0;0.055223881;0.023222061;0.042792793;0;0
23;0;0;0.017416546;0.027027027;0.03125;0.027777778
24;0;0;0;0.013513514;0.0078125;0
25;0;0;0;0;0.015625;0
26;0;0;0;0;0;0.027777778
30;0;0;0.449927431;0.074324324;0.015625;0
31;0;0;0.134978229;0.078828829;0.03125;0.027777778
32;0;0;0.055152395;0.024774775;0.0234375;0.027777778
33;0;0;0.015965167;0.02027027;0.03125;0
34;0;0;0;0.002252252;0;0
35;0;0;0;0;0.015625;0
36;0;0;0;0;0;0
40;0;0;0;0.459459459;0.0546875;0
41;0;0;0;0.114864865;0.09375;0.055555556
42;0;0;0;0.031531532;0.0546875;0.027777778
43;0;0;0;0.013513514;0.0546875;0.055555556
44;0;0;0;0.004504505;0.0078125;0
45;0;0;0;0;0;0
46;0;0;0;0;0;0
50;0;0;0;0;0.3359375;0.194444444
51;0;0;0;0;0.109375;0.027777778
52;0;0;0;0;0.03125;0.027777778
53;0;0;0;0;0.0234375;0
54;0;0;0;0;0;0.027777778
55;0;0;0;0;0.015625;0.027777778
56;0;0;0;0;0;0
60;0;0;0;0;0;0.333333333
61;0;0;0;0;0;0.027777778
62;0;0;0;0;0;0.055555556
63;0;0;0;0;0;0
64;0;0;0;0;0;0.027777778
65;0;0;0;0;0;0
66;0;0;0;0;0;0
