Ten minute period number;Active occupant count in time period;Probability of transition to zero active occupants in next time period;Probability of transition to one active occupant in next time period;Probability of transition to two active occupants in next time period;Probability of transition to three active occupants in next time period;Probability of transition to four active occupants in next time period;Probability of transition to five active occupants in next time period;Probability of transition to six active occupants in next time period
1;0;0.982832618;0.017167382;0;0;0;0;0
1;1;0.268965517;0.710344828;0.020689655;0;0;0;0
1;2;0.046153846;0.138461538;0.815384615;0;0;0;0
1;3;0;0;0.307692308;0.692307692;0;0;0
1;4;0;0;0;0;0;0;0
1;5;0;0;0;0;0;0;0
1;6;0;0;0;0;0;0;0
2;0;0.98;0.016;0.004;0;0;0;0
2;1;0.183333333;0.808333333;0.008333333;0;0;0;0
2;2;0.183333333;0.116666667;0.65;0.05;0;0;0
2;3;0;0;0.111111111;0.888888889;0;0;0
2;4;0;0;0;0;0;0;0
2;5;0;0;0;0;0;0;0
2;6;0;0;0;0;0;0;0
3;0;0.980879541;0.019120459;0;0;0;0;0
3;1;0.241071429;0.741071429;0.017857143;0;0;0;0
3;2;0.069767442;0.162790698;0.76744186;0;0;0;0
3;3;0;0;0.181818182;0.818181818;0;0;0
3;4;0;0;0;0;0;0;0
3;5;0;0;0;0;0;0;0
3;6;0;0;0;0;0;0;0
4;0;0.990791897;0.009208103;0;0;0;0;0
4;1;0.18;0.81;0.01;0;0;0;0
4;2;0.081081081;0.162162162;0.756756757;0;0;0;0
4;3;0;0;0.222222222;0.777777778;0;0;0
4;4;0;0;0;0;0;0;0
4;5;0;0;0;0;0;0;0
4;6;0;0;0;0;0;0;0
5;0;0.992844365;0.005366726;0.001788909;0;0;0;0
5;1;0.195652174;0.804347826;0;0;0;0;0
5;2;0.064516129;0.193548387;0.741935484;0;0;0;0
5;3;0;0;0.142857143;0.857142857;0;0;0
5;4;0;0;0;0;0;0;0
5;5;0;0;0;0;0;0;0
5;6;0;0;0;0;0;0;0
6;0;0.977391304;0.020869565;0.00173913;0;0;0;0
6;1;0.313253012;0.686746988;0;0;0;0;0
6;2;0.32;0.16;0.52;0;0;0;0
6;3;0.166666667;0;0.166666667;0.666666667;0;0;0
6;4;0;0;0;0;0;0;0
6;5;0;0;0;0;0;0;0
6;6;0;0;0;0;0;0;0
7;0;0.994974874;0.005025126;0;0;0;0;0
7;1;0.164383562;0.821917808;0.01369863;0;0;0;0
7;2;0.066666667;0.066666667;0.866666667;0;0;0;0
7;3;0;0.25;0.25;0.5;0;0;0
7;4;0;0;0;0;0;0;0
7;5;0;0;0;0;0;0;0
7;6;0;0;0;0;0;0;0
8;0;0.991762768;0.008237232;0;0;0;0;0
8;1;0.169230769;0.830769231;0;0;0;0;0
8;2;0.133333333;0.2;0.666666667;0;0;0;0
8;3;0;0;0.5;0.5;0;0;0
8;4;0;0;0;0;0;0;0
8;5;0;0;0;0;0;0;0
8;6;0;0;0;0;0;0;0
9;0;0.990243902;0.009756098;0;0;0;0;0
9;1;0.161290323;0.822580645;0;0.016129032;0;0;0
9;2;0.090909091;0.090909091;0.727272727;0.090909091;0;0;0
9;3;0;0;0;1;0;0;0
9;4;0;0;0;0;0;0;0
9;5;0;0;0;0;0;0;0
9;6;0;0;0;0;0;0;0
10;0;0.998387097;0.001612903;0;0;0;0;0
10;1;0.189655172;0.775862069;0.034482759;0;0;0;0
10;2;0.125;0;0.875;0;0;0;0
10;3;0;0;0;1;0;0;0
10;4;0;0;0;0;0;0;0
10;5;0;0;0;0;0;0;0
10;6;0;0;0;0;0;0;0
11;0;0.995245642;0.004754358;0;0;0;0;0
11;1;0.217391304;0.782608696;0;0;0;0;0
11;2;0;0.444444444;0.555555556;0;0;0;0
11;3;0;0.333333333;0;0.666666667;0;0;0
11;4;0;0;0;0;0;0;0
11;5;0;0;0;0;0;0;0
11;6;0;0;0;0;0;0;0
12;0;0.996865204;0.003134796;0;0;0;0;0
12;1;0.272727273;0.704545455;0.022727273;0;0;0;0
12;2;0;0.4;0.6;0;0;0;0
12;3;0;0;0.5;0.5;0;0;0
12;4;0;0;0;0;0;0;0
12;5;0;0;0;0;0;0;0
12;6;0;0;0;0;0;0;0
13;0;0.99382716;0.00617284;0;0;0;0;0
13;1;0.228571429;0.771428571;0;0;0;0;0
13;2;0;0.2;0.8;0;0;0;0
13;3;0;0;0;1;0;0;0
13;4;0;0;0;0;0;0;0
13;5;0;0;0;0;0;0;0
13;6;0;0;0;0;0;0;0
14;0;0.992331288;0.006134969;0.001533742;0;0;0;0
14;1;0.1875;0.8125;0;0;0;0;0
14;2;0;0;1;0;0;0;0
14;3;0;0;0;1;0;0;0
14;4;0;0;0;0;0;0;0
14;5;0;0;0;0;0;0;0
14;6;0;0;0;0;0;0;0
15;0;0.986217458;0.012251149;0.001531394;0;0;0;0
15;1;0.1;0.9;0;0;0;0;0
15;2;0;0.2;0.8;0;0;0;0
15;3;0;0;1;0;0;0;0
15;4;0;0;0;0;0;0;0
15;5;0;0;0;0;0;0;0
15;6;0;0;0;0;0;0;0
16;0;0.99381762;0.00618238;0;0;0;0;0
16;1;0.111111111;0.888888889;0;0;0;0;0
16;2;0;0.333333333;0.666666667;0;0;0;0
16;3;0;0;0;0;0;0;0
16;4;0;0;0;0;0;0;0
16;5;0;0;0;0;0;0;0
16;6;0;0;0;0;0;0;0
17;0;0.998454405;0.001545595;0;0;0;0;0
17;1;0.315789474;0.684210526;0;0;0;0;0
17;2;0;0;1;0;0;0;0
17;3;0;0;0;0;0;0;0
17;4;0;0;0;0;0;0;0
17;5;0;0;0;0;0;0;0
17;6;0;0;0;0;0;0;0
18;0;0.993920973;0.006079027;0;0;0;0;0
18;1;0.222222222;0.740740741;0.037037037;0;0;0;0
