Act_TV;Act_Cooking;Act_Laundry;Act_WashDress;Act_Iron;Act_HouseClean
0.32210;0.02247;0.00000;0.12360;0.00000;0.00624
0.32993;0.01460;0.00146;0.09343;0.00000;0.00438
0.33662;0.01478;0.00000;0.06897;0.00000;0.00985
0.31944;0.01984;0.00000;0.10317;0.00000;0.00397
0.33624;0.01965;0.00000;0.08952;0.00000;0.00218
0.30467;0.02211;0.00246;0.08600;0.00000;0.00491
0.25271;0.01805;0.00000;0.14440;0.00000;0.00361
0.27386;0.00830;0.00000;0.11203;0.00000;0.00830
0.28638;0.00000;0.00000;0.10798;0.00000;0.00000
0.28421;0.00526;0.00000;0.07368;0.00000;0.00526
0.29379;0.01130;0.00000;0.10169;0.00000;0.00565
0.25150;0.01796;0.00000;0.13772;0.00000;0.00599
0.18182;0.01948;0.00000;0.13636;0.00000;0.01299
0.17647;0.02941;0.00000;0.07353;0.00000;0.01471
0.16667;0.02778;0.00000;0.06250;0.00000;0.01389
0.15672;0.00746;0.00000;0.08209;0.00000;0.02239
0.16667;0.01587;0.00000;0.06349;0.00000;0.00794
0.14063;0.03125;0.00000;0.10156;0.00000;0.00781
0.12030;0.02256;0.00000;0.13534;0.00000;0.00752
0.10526;0.03759;0.00000;0.07519;0.00000;0.01504
0.10400;0.03200;0.00000;0.08000;0.00000;0.00000
0.10577;0.03846;0.00000;0.05769;0.00000;0.00000
0.09483;0.02586;0.00000;0.15517;0.00000;0.00000
0.05607;0.02804;0.00000;0.14953;0.00000;0.00000
0.11458;0.05208;0.00000;0.29167;0.00000;0.01042
0.10476;0.07619;0.00952;0.29524;0.00000;0.00000
0.09016;0.09836;0.00000;0.26230;0.00000;0.00000
0.09924;0.04580;0.00000;0.24427;0.00000;0.00000
0.09028;0.06944;0.00000;0.29861;0.00000;0.00000
0.07101;0.10059;0.00592;0.33728;0.00000;0.00000
0.05691;0.09756;0.00000;0.37398;0.00000;0.00000
0.06897;0.11111;0.00000;0.30651;0.00000;0.00000
0.06050;0.14235;0.01068;0.25623;0.00000;0.00356
0.06875;0.11563;0.01250;0.35313;0.00000;0.01563
0.07202;0.12188;0.00554;0.31856;0.00277;0.01108
0.08390;0.10431;0.00454;0.34240;0.00227;0.01134
0.05846;0.13231;0.00615;0.41538;0.00154;0.00769
0.04736;0.12179;0.01083;0.39378;0.00541;0.01218
0.04837;0.14389;0.01330;0.36759;0.00726;0.01451
0.04491;0.14970;0.00898;0.39022;0.00898;0.02196
0.05339;0.13484;0.00905;0.38914;0.00995;0.02534
0.03527;0.14356;0.00902;0.37244;0.00738;0.02543
0.03753;0.14822;0.01081;0.42366;0.00509;0.02481
0.03378;0.14596;0.01568;0.39144;0.00663;0.02593
0.04877;0.14400;0.01320;0.35743;0.00746;0.03155
0.04832;0.15581;0.01412;0.33550;0.00597;0.03909
0.04844;0.15823;0.01722;0.31647;0.00861;0.04952
0.05074;0.16607;0.01333;0.29216;0.00718;0.04818
0.05235;0.13833;0.01825;0.29491;0.00480;0.05764
0.05675;0.14115;0.01478;0.27325;0.00334;0.06724
0.06003;0.12816;0.02144;0.24440;0.00429;0.08147
0.05709;0.14175;0.03000;0.21335;0.00677;0.09918
0.06106;0.13186;0.03181;0.19702;0.00770;0.12468
0.06273;0.13405;0.02735;0.16997;0.01072;0.13834
0.06815;0.12442;0.03511;0.18121;0.01136;0.15333
0.07313;0.11935;0.03454;0.14830;0.01219;0.17725
0.07381;0.11174;0.03332;0.12660;0.01589;0.19682
0.07622;0.11382;0.03862;0.11077;0.01778;0.21697
0.08294;0.09953;0.03992;0.09850;0.01400;0.22136
0.08111;0.09819;0.03949;0.09338;0.01387;0.21398
0.07650;0.09590;0.03603;0.09812;0.01497;0.21674
0.08375;0.08713;0.03822;0.09162;0.01743;0.22485
0.09023;0.08167;0.03712;0.07367;0.02284;0.22730
0.09069;0.07597;0.04005;0.06655;0.02886;0.23263
0.10347;0.07349;0.04468;0.06055;0.02646;0.22105
0.11216;0.08619;0.04073;0.05490;0.02952;0.20779
0.10383;0.09593;0.03886;0.06072;0.03522;0.19611
0.10843;0.08860;0.03470;0.05948;0.03346;0.18463
0.11503;0.09833;0.03401;0.05318;0.03401;0.16574
0.10252;0.10866;0.03254;0.06998;0.03131;0.15961
0.10848;0.12781;0.03491;0.06172;0.03242;0.14526
0.10530;0.16075;0.03863;0.04984;0.03115;0.13022
0.08797;0.19243;0.03360;0.04276;0.02505;0.10018
0.10097;0.18309;0.03345;0.03771;0.02494;0.09550
0.11064;0.16777;0.03127;0.03367;0.01984;0.08779
0.11827;0.18267;0.02693;0.04157;0.01698;0.07553
0.12866;0.17863;0.02298;0.03331;0.02010;0.07065
0.13299;0.18826;0.02015;0.03569;0.01727;0.06678
0.13550;0.20045;0.02016;0.03415;0.01848;0.06831
0.15092;0.14869;0.01677;0.03410;0.01789;0.06652
0.15854;0.13803;0.01552;0.03825;0.02162;0.07151
0.16583;0.12187;0.02059;0.03617;0.02560;0.08180
0.17621;0.10561;0.02168;0.03002;0.03224;0.08727
0.18406;0.09484;0.02974;0.02637;0.03311;0.09315
0.17325;0.11851;0.02427;0.02991;0.03725;0.08860
0.16911;0.10316;0.02593;0.03157;0.04284;0.09132
0.17484;0.08799;0.02087;0.02933;0.04512;0.08799
0.17214;0.09400;0.02435;0.03171;0.04304;0.09060
0.17396;0.08926;0.01990;0.03184;0.04548;0.08584
0.16910;0.08484;0.01872;0.02926;0.03979;0.08660
0.16002;0.10470;0.02082;0.02736;0.03688;0.07912
0.16165;0.09971;0.01711;0.02596;0.03363;0.07198
0.17478;0.11202;0.01935;0.02639;0.03167;0.06276
0.18021;0.10927;0.01659;0.02174;0.02746;0.05950
0.18237;0.11240;0.01653;0.02975;0.02755;0.05675
0.18648;0.14831;0.01200;0.02563;0.02290;0.05289
0.20399;0.17593;0.01781;0.02860;0.02267;0.04857
0.21238;0.15475;0.01868;0.02935;0.02134;0.05016
0.21950;0.16782;0.01438;0.02717;0.02397;0.04848
0.22396;0.19635;0.01458;0.02604;0.02240;0.04844
0.21846;0.20205;0.01487;0.03077;0.02256;0.04410
0.20681;0.23208;0.01083;0.02527;0.02372;0.03559
0.19065;0.26156;0.01182;0.03135;0.01593;0.03494
0.19817;0.25166;0.00968;0.03566;0.01732;0.03209
0.20422;0.23560;0.01029;0.03498;0.01903;0.03035
0.21491;0.22511;0.00715;0.03624;0.01429;0.03165
0.21312;0.23245;0.00712;0.03866;0.01272;0.03204
0.23608;0.21972;0.00511;0.03935;0.01226;0.02759
0.26182;0.20488;0.00915;0.04169;0.00966;0.02440
0.26711;0.18753;0.00456;0.04004;0.01064;0.02382
0.28114;0.17997;0.00661;0.04728;0.01068;0.02440
0.28130;0.17892;0.00710;0.04815;0.01368;0.03092
0.28225;0.16743;0.00860;0.04502;0.01467;0.02883
0.30366;0.15768;0.00661;0.04781;0.01322;0.02848
0.35095;0.13802;0.00770;0.05541;0.01385;0.02514
0.36294;0.12047;0.00562;0.05003;0.01327;0.03114
0.40244;0.11128;0.00508;0.05132;0.01474;0.02439
0.43782;0.10263;0.00404;0.04752;0.01314;0.02326
0.45336;0.08275;0.00752;0.04965;0.01605;0.02508
0.45478;0.07984;0.00657;0.04598;0.01415;0.02223
0.45445;0.06909;0.00563;0.05067;0.01638;0.02303
0.47544;0.06192;0.00307;0.05015;0.01586;0.01791
0.48188;0.05921;0.00357;0.04900;0.01480;0.01889
0.49589;0.06674;0.00565;0.04363;0.01232;0.01694
0.51797;0.05287;0.00616;0.04723;0.01335;0.01797
0.52342;0.05957;0.00611;0.04939;0.01171;0.01324
0.53073;0.05637;0.00863;0.06348;0.00863;0.01219
0.54449;0.05028;0.00302;0.05832;0.00855;0.01056
0.55904;0.05082;0.00349;0.05082;0.01096;0.00947
0.55600;0.04460;0.00248;0.05847;0.00694;0.00743
0.57050;0.03687;0.00399;0.06079;0.00598;0.00847
0.52571;0.04587;0.00353;0.07762;0.00504;0.01058
0.46861;0.06027;0.00452;0.10899;0.00301;0.01457
0.49242;0.03741;0.00354;0.08797;0.00253;0.01517
0.49361;0.03939;0.00256;0.07468;0.00205;0.00767
0.46546;0.03918;0.00206;0.09742;0.00103;0.00619
0.45735;0.02773;0.00209;0.08948;0.00314;0.00890
0.44279;0.02875;0.00276;0.09287;0.00387;0.00663
0.39462;0.02871;0.00183;0.13012;0.00489;0.00733
0.38999;0.02240;0.00198;0.11331;0.00659;0.00791
0.38115;0.02602;0.00281;0.09634;0.00633;0.00633
0.35086;0.02904;0.00314;0.12323;0.00314;0.00235
0.35105;0.02526;0.00261;0.11411;0.00174;0.00610
0.35786;0.02016;0.00302;0.10282;0.00101;0.00806
