Act_TV;Act_Cooking;Act_Laundry;Act_WashDress;Act_Iron;Act_HouseClean
0.51111;0.07037;0.00370;0.23333;0.00370;0.01852
0.48372;0.07907;0.00000;0.16279;0.00000;0.01395
0.52727;0.06061;0.00000;0.12121;0.00000;0.00000
0.52518;0.06475;0.00000;0.13669;0.00000;0.00719
0.51724;0.05172;0.00000;0.10345;0.00000;0.01724
0.50476;0.05714;0.00952;0.15238;0.00000;0.01905
0.47541;0.08197;0.00000;0.13115;0.00000;0.04918
0.43860;0.03509;0.00000;0.12281;0.00000;0.03509
0.40385;0.05769;0.00000;0.17308;0.00000;0.01923
0.34146;0.09756;0.00000;0.17073;0.00000;0.02439
0.36585;0.04878;0.00000;0.17073;0.00000;0.02439
0.43750;0.03125;0.00000;0.06250;0.00000;0.03125
0.32143;0.03571;0.00000;0.07143;0.00000;0.03571
0.27586;0.03448;0.00000;0.03448;0.00000;0.06897
0.28571;0.03571;0.00000;0.07143;0.00000;0.03571
0.19355;0.03226;0.00000;0.19355;0.00000;0.03226
0.30000;0.05000;0.00000;0.05000;0.00000;0.05000
0.20000;0.10000;0.00000;0.05000;0.00000;0.10000
0.14286;0.07143;0.00000;0.21429;0.00000;0.07143
0.22222;0.11111;0.00000;0.22222;0.00000;0.11111
0.11111;0.22222;0.00000;0.11111;0.00000;0.11111
0.10000;0.10000;0.00000;0.10000;0.00000;0.10000
0.11111;0.00000;0.00000;0.33333;0.00000;0.00000
0.12500;0.00000;0.00000;0.00000;0.00000;0.00000
0.20000;0.20000;0.00000;0.10000;0.00000;0.10000
0.18182;0.27273;0.00000;0.54545;0.00000;0.00000
0.21429;0.07143;0.00000;0.28571;0.00000;0.07143
0.16667;0.16667;0.00000;0.16667;0.00000;0.00000
0.14286;0.07143;0.00000;0.07143;0.00000;0.00000
0.12500;0.18750;0.00000;0.12500;0.00000;0.06250
0.05882;0.23529;0.00000;0.35294;0.00000;0.11765
0.08333;0.25000;0.04167;0.45833;0.00000;0.04167
0.00000;0.20000;0.05000;0.45000;0.00000;0.00000
0.04762;0.09524;0.00000;0.47619;0.00000;0.00000
0.03846;0.11538;0.00000;0.34615;0.00000;0.00000
0.00000;0.15385;0.03846;0.19231;0.00000;0.00000
0.05128;0.10256;0.00000;0.35897;0.00000;0.02564
0.06522;0.19565;0.02174;0.36957;0.00000;0.02174
0.08163;0.26531;0.00000;0.34694;0.00000;0.04082
0.04762;0.25397;0.00000;0.28571;0.00000;0.04762
0.04651;0.23256;0.00000;0.37209;0.00000;0.05814
0.06087;0.18261;0.00000;0.39130;0.00000;0.02609
0.07480;0.23228;0.00787;0.50000;0.00787;0.01575
0.08911;0.19472;0.02310;0.44884;0.00990;0.02640
0.12321;0.20630;0.01433;0.42120;0.00000;0.04298
0.12931;0.23060;0.01724;0.39009;0.00431;0.05603
0.13873;0.21387;0.02505;0.40462;0.00771;0.05780
0.13073;0.23599;0.02207;0.41426;0.00509;0.06282
0.11609;0.26121;0.03298;0.41953;0.00528;0.06464
0.11529;0.22824;0.02824;0.42941;0.00353;0.06588
0.12829;0.22368;0.02522;0.38706;0.00439;0.07785
0.12475;0.22938;0.02716;0.36217;0.00905;0.09054
0.12293;0.23024;0.02732;0.32976;0.00976;0.11220
0.13239;0.23099;0.03568;0.31737;0.01408;0.12113
0.12361;0.22918;0.03863;0.34506;0.01545;0.14163
0.13350;0.20896;0.04312;0.30680;0.01658;0.15423
0.14761;0.17518;0.03974;0.27494;0.01622;0.16139
0.14331;0.19843;0.02992;0.28425;0.02047;0.17165
0.15600;0.17520;0.03520;0.25920;0.01520;0.19520
0.16763;0.16763;0.04066;0.26058;0.02075;0.19585
0.16140;0.19634;0.04742;0.27537;0.02413;0.18968
0.17477;0.17890;0.04864;0.22589;0.02721;0.20033
0.16494;0.15630;0.04663;0.19171;0.02591;0.22453
0.18471;0.15979;0.04296;0.18900;0.03007;0.22251
0.19525;0.16447;0.03342;0.16359;0.03166;0.21988
0.19619;0.16440;0.05540;0.18256;0.02725;0.20527
0.20769;0.17932;0.05306;0.19122;0.03019;0.19030
0.21644;0.17808;0.05023;0.17717;0.03014;0.18630
0.21691;0.18474;0.05239;0.15165;0.02849;0.18474
0.22462;0.18421;0.04229;0.13346;0.03383;0.17575
0.23311;0.19981;0.04472;0.12369;0.03806;0.16651
0.22490;0.24324;0.02992;0.11969;0.03571;0.15927
0.19048;0.28480;0.02839;0.12271;0.03480;0.14469
0.19031;0.27577;0.03260;0.11189;0.03260;0.13480
0.19416;0.28265;0.04038;0.09966;0.02663;0.12973
0.19569;0.28103;0.03362;0.08017;0.03190;0.12328
0.20624;0.28943;0.02860;0.07972;0.03120;0.12738
0.19983;0.28460;0.02076;0.06747;0.02249;0.10813
0.21138;0.26486;0.03056;0.07216;0.01698;0.07725
0.21545;0.23863;0.02318;0.07382;0.02060;0.07983
0.23137;0.22790;0.02600;0.06759;0.02166;0.08492
0.25480;0.21117;0.03054;0.06021;0.02094;0.08290
0.27192;0.19752;0.03366;0.05669;0.01949;0.08857
0.28108;0.17996;0.03061;0.05102;0.02783;0.10019
0.28380;0.20038;0.02972;0.07191;0.02972;0.08533
0.29747;0.18990;0.02245;0.06174;0.02806;0.08887
0.30776;0.16464;0.02339;0.04958;0.03274;0.08513
0.33079;0.15825;0.03241;0.04862;0.03527;0.09056
0.35209;0.15228;0.02425;0.04074;0.03589;0.09020
0.36683;0.15610;0.02634;0.04390;0.02927;0.08878
0.38371;0.15113;0.02355;0.04809;0.03435;0.08440
0.38673;0.14692;0.02370;0.04834;0.02938;0.08436
0.38418;0.13371;0.01883;0.04237;0.03202;0.07627
0.39889;0.13850;0.02308;0.04155;0.03601;0.07849
0.40018;0.14748;0.02158;0.03417;0.03867;0.08094
0.38879;0.16456;0.01266;0.03255;0.04340;0.08499
0.38567;0.21416;0.02474;0.04608;0.03328;0.06229
0.38765;0.19588;0.01975;0.05021;0.03621;0.06996
0.39758;0.20726;0.02097;0.05403;0.03629;0.06371
0.39862;0.21429;0.02842;0.05069;0.02919;0.05069
0.40242;0.22088;0.02269;0.05371;0.03177;0.05068
0.37844;0.25130;0.01710;0.05502;0.02974;0.04833
0.34480;0.27526;0.01757;0.05783;0.02635;0.04685
0.35581;0.26471;0.01650;0.06600;0.02582;0.05093
0.36281;0.26950;0.02089;0.06546;0.02646;0.04735
0.36564;0.28385;0.01306;0.06942;0.02405;0.05223
0.37348;0.27470;0.01962;0.06834;0.02368;0.05548
0.37666;0.27122;0.01393;0.08355;0.02056;0.05172
0.35901;0.25457;0.01175;0.09922;0.01762;0.04961
0.37052;0.25571;0.00978;0.10763;0.02153;0.04305
0.39002;0.23441;0.00657;0.10900;0.01838;0.04202
0.40871;0.23652;0.00845;0.10851;0.02274;0.03574
0.42590;0.21327;0.00966;0.11856;0.02191;0.03802
0.44374;0.20216;0.01208;0.11507;0.02225;0.03942
0.49114;0.16582;0.01392;0.12025;0.01899;0.03418
0.51481;0.15438;0.01575;0.11594;0.01512;0.04159
0.54615;0.14768;0.01082;0.09803;0.01337;0.03437
0.59088;0.13680;0.00899;0.09184;0.01734;0.02954
0.60922;0.12364;0.01089;0.09289;0.01666;0.03011
0.64023;0.11865;0.00825;0.08947;0.01904;0.03236
0.66981;0.11509;0.01069;0.08428;0.01887;0.02516
0.69931;0.09291;0.01004;0.07721;0.01946;0.01883
0.69748;0.08302;0.00881;0.07484;0.02138;0.02201
0.70460;0.08644;0.00622;0.07027;0.02425;0.01866
0.72090;0.06633;0.00626;0.06821;0.02253;0.01439
0.74123;0.07143;0.00752;0.06767;0.01942;0.01566
0.74046;0.07755;0.00438;0.06504;0.01626;0.01438
0.74938;0.06638;0.00620;0.06948;0.01489;0.01055
0.75722;0.05532;0.00738;0.06454;0.01414;0.01168
0.77210;0.05044;0.00623;0.07347;0.01930;0.01059
0.77048;0.05253;0.00375;0.07317;0.01814;0.01126
0.74509;0.06160;0.00524;0.09699;0.01835;0.01507
0.70763;0.07345;0.00071;0.15466;0.01271;0.01483
0.70773;0.05977;0.00292;0.13484;0.01312;0.01385
0.73550;0.05646;0.00541;0.10596;0.01237;0.01779
0.70750;0.05167;0.00583;0.12667;0.01083;0.01417
0.68574;0.03873;0.00440;0.12500;0.01056;0.01056
0.66634;0.04697;0.00391;0.13014;0.00783;0.00685
0.59976;0.05376;0.00478;0.18757;0.00717;0.01434
0.60758;0.05277;0.00271;0.15426;0.00677;0.01759
0.57829;0.06357;0.00310;0.16279;0.00620;0.00930
0.54802;0.05461;0.00188;0.17514;0.00565;0.01318
0.53813;0.06100;0.00654;0.15686;0.00436;0.01307
0.53552;0.06831;0.01093;0.12295;0.00820;0.01366
