Occupancy Model;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Transition Probability Matrix;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
One resident house;;;;;;;;;;;;;;;
Weekday;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ten minute period number;Combined State  @t;Combined State  @t+1;;;;;;;;;;;;;
;;00;01;10;11;;;;;;;;;;
24;00;0.98592;0.014085;0;0;;;;;;;;;;
24;01;0.035714;0.92857;0;0.035714;;;;;;;;;;
24;10;0;0;0.99306;0.0069444;;;;;;;;;;
24;11;0;0.052632;0.31579;0.63158;;;;;;;;;;
25;00;0.98667;0.013333;0;0;;;;;;;;;;
25;01;0;0.94118;0;0.058824;;;;;;;;;;
25;10;0;0;0.99497;0.0050283;;;;;;;;;;
25;11;0;0;0.31579;0.68421;;;;;;;;;;
26;00;0.98649;0.013514;0;0;;;;;;;;;;
26;01;0;1;0;0;;;;;;;;;;
26;10;0;0;0.99182;0.0081812;;;;;;;;;;
26;11;0;0.045455;0.18182;0.77273;;;;;;;;;;
27;00;0.9863;0.013699;0;0;;;;;;;;;;
27;01;0;1;0;0;;;;;;;;;;
27;10;0;0;0.99114;0.0088608;;;;;;;;;;
27;11;0;0;0.36667;0.63333;;;;;;;;;;
28;00;1;0;0;0;;;;;;;;;;
28;01;0;0.9;0;0.1;;;;;;;;;;
28;10;0;0;0.99049;0.0095117;;;;;;;;;;
28;11;0;0.060606;0.24242;0.69697;;;;;;;;;;
29;00;1;0;0;0;;;;;;;;;;
29;01;0;0.9;0;0.1;;;;;;;;;;
29;10;0;0;0.99299;0.0070064;;;;;;;;;;
29;11;0;0.025;0.225;0.75;;;;;;;;;;
30;00;0.97222;0.027778;0;0;;;;;;;;;;
30;01;0.052632;0.94737;0;0;;;;;;;;;;
30;10;0;0;0.98533;0.014668;;;;;;;;;;
30;11;0.023256;0.023256;0.16279;0.7907;;;;;;;;;;
31;00;1;0;0;0;;;;;;;;;;
31;01;0;1;0;0;;;;;;;;;;
31;10;0;0;0.98969;0.010309;;;;;;;;;;
31;11;0;0.070175;0.22807;0.70175;;;;;;;;;;
32;00;0.95833;0.041667;0;0;;;;;;;;;;
32;01;0.04;0.96;0;0;;;;;;;;;;
32;10;0;0;0.99032;0.0096837;;;;;;;;;;
32;11;0;0.10714;0.16071;0.73214;;;;;;;;;;
33;00;0.98571;0.014286;0;0;;;;;;;;;;
33;01;0;1;0;0;;;;;;;;;;
33;10;0;0;0.98315;0.01685;;;;;;;;;;
33;11;0;0.053571;0.17857;0.76786;;;;;;;;;;
34;00;1;0;0;0;;;;;;;;;;
34;01;0.027027;0.97297;0;0;;;;;;;;;;
34;10;0;0;0.98625;0.013752;;;;;;;;;;
34;11;0;0.043478;0.086957;0.86957;;;;;;;;;;
35;00;0.98571;0.014286;0;0;;;;;;;;;;
35;01;0.025641;0.94872;0;0.025641;;;;;;;;;;
35;10;0;0;0.97817;0.021825;;;;;;;;;;
35;11;0;0.11111;0.1358;0.75309;;;;;;;;;;
36;00;0.92857;0.057143;0;0.014286;;;;;;;;;;
36;01;0.021277;0.95745;0;0.021277;;;;;;;;;;
36;10;0;0;0.95772;0.042282;;;;;;;;;;
36;11;0;0.052632;0.042105;0.90526;;;;;;;;;;
37;00;0.98485;0.015152;0;0;;;;;;;;;;
37;01;0;1;0;0;;;;;;;;;;
37;10;0;0;0.96576;0.034242;;;;;;;;;;
37;11;0;0.066225;0.099338;0.83444;;;;;;;;;;
38;00;0.96923;0.030769;0;0;;;;;;;;;;
38;01;0.015385;0.93846;0;0.046154;;;;;;;;;;
38;10;0;0;0.96707;0.032928;;;;;;;;;;
38;11;0;0.034286;0.068571;0.89714;;;;;;;;;;
39;00;0.89063;0.10938;0;0;;;;;;;;;;
39;01;0.014493;0.94203;0;0.043478;;;;;;;;;;
39;10;0;0.0014674;0.95158;0.046955;;;;;;;;;;
39;11;0;0.063107;0.048544;0.88835;;;;;;;;;;
40;00;0.98276;0.017241;0;0;;;;;;;;;;
40;01;0.011494;0.97701;0;0.011494;;;;;;;;;;
40;10;0;0;0.95409;0.045907;;;;;;;;;;
40;11;0;0.084;0.02;0.896;;;;;;;;;;
41;00;0.98276;0.017241;0;0;;;;;;;;;;
41;01;0;0.96262;0;0.037383;;;;;;;;;;
41;10;0;0;0.94409;0.055911;;;;;;;;;;
41;11;0;0.063158;0.02807;0.90877;;;;;;;;;;
42;00;0.82456;0.17544;0;0;;;;;;;;;;
42;01;0.0081967;0.94262;0;0.04918;;;;;;;;;;
42;10;0;0;0.81933;0.18067;;;;;;;;;;
42;11;0.003003;0.081081;0.036036;0.87988;;;;;;;;;;
43;00;0.89796;0.10204;0;0;;;;;;;;;;
43;01;0.0065789;0.97368;0;0.019737;;;;;;;;;;
43;10;0;0;0.91185;0.088146;;;;;;;;;;
43;11;0;0.046693;0.029183;0.92412;;;;;;;;;;
44;00;0.91111;0.088889;0;0;;;;;;;;;;
44;01;0.0056497;0.9548;0.0056497;0.033898;;;;;;;;;;
44;10;0;0;0.89071;0.10929;;;;;;;;;;
44;11;0;0.058407;0.017699;0.92389;;;;;;;;;;
45;00;0.90476;0.095238;0;0;;;;;;;;;;
45;01;0;0.96602;0;0.033981;;;;;;;;;;
45;10;0;0;0.84746;0.15254;;;;;;;;;;
45;11;0.0015924;0.058917;0.0095541;0.92994;;;;;;;;;;
46;00;0.84615;0.15385;0;0;;;;;;;;;;
46;01;0.0041667;0.95833;0;0.0375;;;;;;;;;;
46;10;0;0;0.89802;0.10198;;;;;;;;;;
46;11;0;0.057183;0.0097629;0.93305;;;;;;;;;;
47;00;0.91176;0.088235;0;0;;;;;;;;;;
47;01;0;0.97112;0;0.028881;;;;;;;;;;
47;10;0;0;0.85335;0.14665;;;;;;;;;;
47;11;0.0013333;0.057333;0.008;0.93333;;;;;;;;;;
48;00;0.8125;0.15625;0;0.03125;;;;;;;;;;
48;01;0.0031746;0.96508;0;0.031746;;;;;;;;;;
48;10;0;0.0018083;0.72333;0.27486;;;;;;;;;;
48;11;0;0.05611;0.0074813;0.93641;;;;;;;;;;
49;00;0.85185;0.14815;0;0;;;;;;;;;;
49;01;0.0028169;0.9662;0;0.030986;;;;;;;;;;
49;10;0;0.0024631;0.84975;0.14778;;;;;;;;;;
49;11;0;0.043764;0.0032823;0.95295;;;;;;;;;;
50;00;0.95833;0;0;0.041667;;;;;;;;;;
50;01;0.0025773;0.97938;0;0.018041;;;;;;;;;;
50;10;0;0;0.88506;0.11494;;;;;;;;;;
50;11;0;0.06051;0.0063694;0.93312;;;;;;;;;;
51;00;0.875;0.125;0;0;;;;;;;;;;
51;01;0;0.97712;0;0.022883;;;;;;;;;;
51;10;0;0.0031847;0.81529;0.18153;;;;;;;;;;
51;11;0;0.092772;0.00863;0.8986;;;;;;;;;;
52;00;0.95238;0.047619;0;0;;;;;;;;;;
52;01;0.0019342;0.98066;0;0.017408;;;;;;;;;;
52;10;0;0;0.89015;0.10985;;;;;;;;;;
52;11;0.0011111;0.095556;0.0066667;0.89667;;;;;;;;;;
53;00;1;0;0;0;;;;;;;;;;
53;01;0;0.9798;0;0.020202;;;;;;;;;;
53;10;0;0;0.85062;0.14938;;;;;;;;;;
53;11;0.0011834;0.073373;0.0059172;0.91953;;;;;;;;;;
54;00;0.78261;0.17391;0;0.043478;;;;;;;;;;
54;01;0.0031056;0.96118;0.0031056;0.032609;;;;;;;;;;
54;10;0;0.014286;0.77619;0.20952;;;;;;;;;;
54;11;0;0.072727;0.0048485;0.92242;;;;;;;;;;
55;00;0.95;0.05;0;0;;;;;;;;;;
55;01;0.0014577;0.95773;0;0.040816;;;;;;;;;;
55;10;0;0.0059172;0.84024;0.15385;;;;;;;;;;
55;11;0;0.058041;0.0060459;0.93591;;;;;;;;;;
56;00;1;0;0;0;;;;;;;;;;
56;01;0.0042433;0.97737;0;0.018388;;;;;;;;;;
56;10;0;0;0.88435;0.11565;;;;;;;;;;
56;11;0;0.059179;0.0048309;0.93599;;;;;;;;;;
57;00;0.91304;0.086957;0;0;;;;;;;;;;
57;01;0.0013514;0.96351;0;0.035135;;;;;;;;;;
57;10;0;0;0.86567;0.13433;;;;;;;;;;
57;11;0;0.055901;0.0062112;0.93789;;;;;;;;;;
58;00;0.86364;0.13636;0;0;;;;;;;;;;
58;01;0;0.97632;0;0.023684;;;;;;;;;;
58;10;0;0.0082645;0.94215;0.049587;;;;;;;;;;
58;11;0;0.047559;0.010013;0.94243;;;;;;;;;;
