Ten minute period number;Active occupant count in time period;Probability of transition to zero active occupants in next time period;Probability of transition to one active occupant in next time period;Probability of transition to two active occupants in next time period;Probability of transition to three active occupants in next time period;Probability of transition to four active occupants in next time period;Probability of transition to five active occupants in next time period;Probability of transition to six active occupants in next time period
1;0;0.985742061;0.009721322;0.004536617;0;0;0;0
1;1;0.206790123;0.774691358;0.018518519;0;0;0;0
1;2;0.097902098;0.230769231;0.671328671;0;0;0;0
1;3;0;0;0;0;0;0;0
1;4;0;0;0;0;0;0;0
1;5;0;0;0;0;0;0;0
1;6;0;0;0;0;0;0;0
2;0;0.991885144;0.007490637;0.00062422;0;0;0;0
2;1;0.264214047;0.72909699;0.006688963;0;0;0;0
2;2;0.055045872;0.19266055;0.752293578;0;0;0;0
2;3;0;0;0;0;0;0;0
2;4;0;0;0;0;0;0;0
2;5;0;0;0;0;0;0;0
2;6;0;0;0;0;0;0;0
3;0;0.99223417;0.004778973;0.002986858;0;0;0;0
3;1;0.215139442;0.772908367;0.011952191;0;0;0;0
3;2;0.082352941;0.211764706;0.705882353;0;0;0;0
3;3;0;0;0;0;0;0;0
3;4;0;0;0;0;0;0;0
3;5;0;0;0;0;0;0;0
3;6;0;0;0;0;0;0;0
4;0;0.994773519;0.005226481;0;0;0;0;0
4;1;0.177272727;0.804545455;0.018181818;0;0;0;0
4;2;0.058823529;0.147058824;0.794117647;0;0;0;0
4;3;0;0;0;0;0;0;0
4;4;0;0;0;0;0;0;0
4;5;0;0;0;0;0;0;0
4;6;0;0;0;0;0;0;0
5;0;0.993735763;0.003986333;0.002277904;0;0;0;0
5;1;0.18877551;0.81122449;0;0;0;0;0
5;2;0.017241379;0.120689655;0.862068966;0;0;0;0
5;3;0;0;0;0;0;0;0
5;4;0;0;0;0;0;0;0
5;5;0;0;0;0;0;0;0
5;6;0;0;0;0;0;0;0
6;0;0.984856983;0.015143017;0;0;0;0;0
6;1;0.497109827;0.485549133;0.01734104;0;0;0;0
6;2;0.333333333;0.166666667;0.5;0;0;0;0
6;3;0;0;0;0;0;0;0
6;4;0;0;0;0;0;0;0
6;5;0;0;0;0;0;0;0
6;6;0;0;0;0;0;0;0
7;0;0.997311828;0.002688172;0;0;0;0;0
7;1;0.216666667;0.775;0.008333333;0;0;0;0
7;2;0.066666667;0.1;0.833333333;0;0;0;0
7;3;0;0;0;0;0;0;0
7;4;0;0;0;0;0;0;0
7;5;0;0;0;0;0;0;0
7;6;0;0;0;0;0;0;0
8;0;0.994689326;0.004779607;0.000531067;0;0;0;0
8;1;0.207920792;0.792079208;0;0;0;0;0
8;2;0.038461538;0.038461538;0.923076923;0;0;0;0
8;3;0;0;0;0;0;0;0
8;4;0;0;0;0;0;0;0
8;5;0;0;0;0;0;0;0
8;6;0;0;0;0;0;0;0
9;0;0.994722955;0.005277045;0;0;0;0;0
9;1;0.311111111;0.677777778;0.011111111;0;0;0;0
9;2;0.04;0.24;0.72;0;0;0;0
9;3;0;0;0;0;0;0;0
9;4;0;0;0;0;0;0;0
9;5;0;0;0;0;0;0;0
9;6;0;0;0;0;0;0;0
10;0;0.99477534;0.004179728;0.001044932;0;0;0;0
10;1;0.246753247;0.74025974;0.012987013;0;0;0;0
10;2;0.052631579;0.052631579;0.894736842;0;0;0;0
10;3;0;0;0;0;0;0;0
10;4;0;0;0;0;0;0;0
10;5;0;0;0;0;0;0;0
10;6;0;0;0;0;0;0;0
11;0;0.994802495;0.005197505;0;0;0;0;0
11;1;0.212121212;0.787878788;0;0;0;0;0
11;2;0.1;0.15;0.75;0;0;0;0
11;3;0;0;0;0;0;0;0
11;4;0;0;0;0;0;0;0
11;5;0;0;0;0;0;0;0
11;6;0;0;0;0;0;0;0
12;0;0.99119171;0.00880829;0;0;0;0;0
12;1;0.323076923;0.676923077;0;0;0;0;0
12;2;0;0.133333333;0.866666667;0;0;0;0
12;3;0;0;0;0;0;0;0
12;4;0;0;0;0;0;0;0
12;5;0;0;0;0;0;0;0
12;6;0;0;0;0;0;0;0
13;0;0.993795243;0.005170631;0.001034126;0;0;0;0
13;1;0.285714286;0.682539683;0.031746032;0;0;0;0
13;2;0;0.153846154;0.846153846;0;0;0;0
13;3;0;0;0;0;0;0;0
13;4;0;0;0;0;0;0;0
13;5;0;0;0;0;0;0;0
13;6;0;0;0;0;0;0;0
14;0;0.991237113;0.008762887;0;0;0;0;0
14;1;0.2;0.781818182;0.018181818;0;0;0;0
14;2;0.133333333;0.066666667;0.8;0;0;0;0
14;3;0;0;0;0;0;0;0
14;4;0;0;0;0;0;0;0
14;5;0;0;0;0;0;0;0
14;6;0;0;0;0;0;0;0
15;0;0.991219008;0.008264463;0.000516529;0;0;0;0
15;1;0.327868852;0.62295082;0.049180328;0;0;0;0
15;2;0.076923077;0;0.923076923;0;0;0;0
15;3;0;0;0;0;0;0;0
15;4;0;0;0;0;0;0;0
15;5;0;0;0;0;0;0;0
15;6;0;0;0;0;0;0;0
16;0;0.996391753;0.003608247;0;0;0;0;0
16;1;0.314814815;0.685185185;0;0;0;0;0
16;2;0.3125;0.0625;0.625;0;0;0;0
16;3;0;0;0;0;0;0;0
16;4;0;0;0;0;0;0;0
16;5;0;0;0;0;0;0;0
16;6;0;0;0;0;0;0;0
17;0;0.99488491;0.00511509;0;0;0;0;0
17;1;0.222222222;0.777777778;0;0;0;0;0
17;2;0.1;0;0.9;0;0;0;0
17;3;0;0;0;0;0;0;0
17;4;0;0;0;0;0;0;0
17;5;0;0;0;0;0;0;0
17;6;0;0;0;0;0;0;0
18;0;0.993865031;0.005623722;0.000511247;0;0;0;0
18;1;0.4;0.6;0;0;0;0;0
18;2;0.111111111;0.111111111;0.777777778;0;0;0;0
18;3;0;0;0;0;0;0;0
18;4;0;0;0;0;0;0;0
18;5;0;0;0;0;0;0;0
18;6;0;0;0;0;0;0;0
19;0;0.997452878;0.002547122;0;0;0;0;0
19;1;0.256410256;0.743589744;0;0;0;0;0
19;2;0;0.375;0.625;0;0;0;0
19;3;0;0;0;0;0;0;0
19;4;0;0;0;0;0;0;0
19;5;0;0;0;0;0;0;0
19;6;0;0;0;0;0;0;0
20;0;0.99745935;0.00254065;0;0;0;0;0
20;1;0.297297297;0.702702703;0;0;0;0;0
20;2;0;0;1;0;0;0;0
20;3;0;0;0;0;0;0;0
20;4;0;0;0;0;0;0;0
20;5;0;0;0;0;0;0;0
20;6;0;0;0;0;0;0;0
21;0;0.993414387;0.005572442;0.001013171;0;0;0;0
21;1;0.258064516;0.741935484;0;0;0;0;0
21;2;0;0;1;0;0;0;0
21;3;0;0;0;0;0;0;0
21;4;0;0;0;0;0;0;0
21;5;0;0;0;0;0;0;0
21;6;0;0;0;0;0;0;0
22;0;0.994413408;0.005586592;0;0;0;0;0
22;1;0.235294118;0.735294118;0.029411765;0;0;0;0
22;2;0.142857143;0.142857143;0.714285714;0;0;0;0
22;3;0;0;0;0;0;0;0
22;4;0;0;0;0;0;0;0
22;5;0;0;0;0;0;0;0
22;6;0;0;0;0;0;0;0
23;0;0.994916116;0.005083884;0;0;0;0;0
23;1;0.351351351;0.648648649;0;0;0;0;0
23;2;0.166666667;0.166666667;0.666666667;0;0;0;0
23;3;0;0;0;0;0;0;0
23;4;0;0;0;0;0;0;0
23;5;0;0;0;0;0;0;0
23;6;0;0;0;0;0;0;0
24;0;0.98021309;0.017250127;0.002536783;0;0;0;0
24;1;0.857142857;0.142857143;0;0;0;0;0
24;2;0.5;0;0.5;0;0;0;0
24;3;0;0;0;0;0;0;0
24;4;0;0;0;0;0;0;0
24;5;0;0;0;0;0;0;0
24;6;0;0;0;0;0;0;0
25;0;0.993380855;0.005600815;0.00101833;0;0;0;0
25;1;0.282051282;0.717948718;0;0;0;0;0
25;2;0.142857143;0.142857143;0.714285714;0;0;0;0
25;3;0;0;0;0;0;0;0
25;4;0;0;0;0;0;0;0
25;5;0;0;0;0;0;0;0
25;6;0;0;0;0;0;0;0
26;0;0.992358635;0.006622517;0.001018849;0;0;0;0
26;1;0.2;0.8;0;0;0;0;0
26;2;0;0.142857143;0.857142857;0;0;0;0
26;3;0;0;0;0;0;0;0
26;4;0;0;0;0;0;0;0
26;5;0;0;0;0;0;0;0
26;6;0;0;0;0;0;0;0
27;0;0.991308793;0.007668712;0.001022495;0;0;0;0
27;1;0.130434783;0.869565217;0;0;0;0;0
27;2;0.25;0;0.75;0;0;0;0
27;3;0;0;0;0;0;0;0
27;4;0;0;0;0;0;0;0
27;5;0;0;0;0;0;0;0
27;6;0;0;0;0;0;0;0
28;0;0.989727786;0.009758603;0.000513611;0;0;0;0
28;1;0.181818182;0.781818182;0.036363636;0;0;0;0
28;2;0;0.25;0.75;0;0;0;0
28;3;0;0;0;0;0;0;0
28;4;0;0;0;0;0;0;0
28;5;0;0;0;0;0;0;0
28;6;0;0;0;0;0;0;0
29;0;0.987093443;0.012906557;0;0;0;0;0
29;1;0.171875;0.765625;0.0625;0;0;0;0
29;2;0.111111111;0;0.888888889;0;0;0;0
29;3;0;0;0;0;0;0;0
29;4;0;0;0;0;0;0;0
29;5;0;0;0;0;0;0;0
29;6;0;0;0;0;0;0;0
30;0;0.977650728;0.020790021;0.001559252;0;0;0;0
30;1;0.310810811;0.621621622;0.067567568;0;0;0;0
30;2;0.166666667;0.416666667;0.416666667;0;0;0;0
30;3;0;0;0;0;0;0;0
30;4;0;0;0;0;0;0;0
30;5;0;0;0;0;0;0;0
30;6;0;0;0;0;0;0;0
31;0;0.991080797;0.007869885;0.001049318;0;0;0;0
31;1;0.252747253;0.714285714;0.032967033;0;0;0;0
31;2;0;0.153846154;0.846153846;0;0;0;0
31;3;0;0;0;0;0;0;0
31;4;0;0;0;0;0;0;0
31;5;0;0;0;0;0;0;0
31;6;0;0;0;0;0;0;0
32;0;0.989539749;0.009414226;0.001046025;0;0;0;0
32;1;0.243902439;0.731707317;0.024390244;0;0;0;0
32;2;0.0625;0.1875;0.75;0;0;0;0
32;3;0;0;0;0;0;0;0
32;4;0;0;0;0;0;0;0
32;5;0;0;0;0;0;0;0
32;6;0;0;0;0;0;0;0
33;0;0.982226869;0.017250392;0.000522739;0;0;0;0
33;1;0.209876543;0.765432099;0.024691358;0;0;0;0
33;2;0.25;0.1875;0.5625;0;0;0;0
33;3;0;0;0;0;0;0;0
33;4;0;0;0;0;0;0;0
33;5;0;0;0;0;0;0;0
33;6;0;0;0;0;0;0;0
34;0;0.991052632;0.007894737;0.001052632;0;0;0;0
34;1;0.132653061;0.836734694;0.030612245;0;0;0;0
34;2;0;0.083333333;0.916666667;0;0;0;0
34;3;0;0;0;0;0;0;0
34;4;0;0;0;0;0;0;0
34;5;0;0;0;0;0;0;0
34;6;0;0;0;0;0;0;0
35;0;0.97943038;0.02056962;0;0;0;0;0
35;1;0.224489796;0.724489796;0.051020408;0;0;0;0
