Glueh;Spar;Led;Halogen;Leucht
40;7;3;18;3
40;7;5;28;5
40;7;9;42;9
40;7;11;53;12
40;7;15;70;17
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
40;7;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
60;11;;;
100;20;;;
100;20;;;
100;20;;;
100;20;;;
