Ten minute period number;Active occupant count in time period;Probability of transition to zero active occupants in next time period;Probability of transition to one active occupant in next time period;Probability of transition to two active occupants in next time period;Probability of transition to three active occupants in next time period;Probability of transition to four active occupants in next time period;Probability of transition to five active occupants in next time period;Probability of transition to six active occupants in next time period
1;0;0.994402985;0.004975124;0.000621891;0;0;0;0
1;1;0.256849315;0.729452055;0.01369863;0;0;0;0
1;2;0.060344828;0.215517241;0.724137931;0;0;0;0
1;3;0;0;0;0;0;0;0
1;4;0;0;0;0;0;0;0
1;5;0;0;0;0;0;0;0
1;6;0;0;0;0;0;0;0
2;0;0.992861392;0.007138608;0;0;0;0;0
2;1;0.219512195;0.772357724;0.008130081;0;0;0;0
2;2;0.06741573;0.157303371;0.775280899;0;0;0;0
2;3;0;0;0;0;0;0;0
2;4;0;0;0;0;0;0;0
2;5;0;0;0;0;0;0;0
2;6;0;0;0;0;0;0;0
3;0;0.99421631;0.00578369;0;0;0;0;0
3;1;0.25462963;0.731481481;0.013888889;0;0;0;0
3;2;0.042253521;0.211267606;0.746478873;0;0;0;0
3;3;0;0;0;0;0;0;0
3;4;0;0;0;0;0;0;0
3;5;0;0;0;0;0;0;0
3;6;0;0;0;0;0;0;0
4;0;0.992684299;0.006752954;0.000562746;0;0;0;0
4;1;0.218579235;0.775956284;0.005464481;0;0;0;0
4;2;0.053571429;0.160714286;0.785714286;0;0;0;0
4;3;0;0;0;0;0;0;0
4;4;0;0;0;0;0;0;0
4;5;0;0;0;0;0;0;0
4;6;0;0;0;0;0;0;0
5;0;0.993912562;0.005534034;0.000553403;0;0;0;0
5;1;0.18404908;0.809815951;0.006134969;0;0;0;0
5;2;0.130434783;0.130434783;0.739130435;0;0;0;0
5;3;0;0;0;0;0;0;0
5;4;0;0;0;0;0;0;0
5;5;0;0;0;0;0;0;0
5;6;0;0;0;0;0;0;0
6;0;0.990720524;0.008187773;0.001091703;0;0;0;0
6;1;0.418918919;0.574324324;0.006756757;0;0;0;0
6;2;0.194444444;0.305555556;0.5;0;0;0;0
6;3;0;0;0;0;0;0;0
6;4;0;0;0;0;0;0;0
6;5;0;0;0;0;0;0;0
6;6;0;0;0;0;0;0;0
7;0;0.997346072;0.001592357;0.001061571;0;0;0;0
7;1;0.207207207;0.783783784;0.009009009;0;0;0;0
7;2;0;0.095238095;0.904761905;0;0;0;0
7;3;0;0;0;0;0;0;0
7;4;0;0;0;0;0;0;0
7;5;0;0;0;0;0;0;0
7;6;0;0;0;0;0;0;0
8;0;0.997371188;0.002628812;0;0;0;0;0
8;1;0.152173913;0.847826087;0;0;0;0;0
8;2;0.090909091;0.136363636;0.772727273;0;0;0;0
8;3;0;0;0;0;0;0;0
8;4;0;0;0;0;0;0;0
8;5;0;0;0;0;0;0;0
