,Avg T,Min T,Climate Zone,PLZ,Place,Lat,Lng
403,6.3,-14,10,7318,Saalfeld/Saale,50.63519119999999,11.3594746
404,6.8,-12,6,66111,Saarbrücken,49.237322600000006,6.9990459000000005
405,6.8,-12,6,66740,Saarlouis,49.30130399999999,6.736950600000001
406,8.5,-14,3,38226,Salzgitter,52.1590409,10.3325038
407,8.8,-16,7,36433,"Salzungen, Bad",50.82264929999999,10.254024000000001
408,9.5,-14,4,29410,Salzwedel,52.84009449999999,11.1996855
409,9.5,-14,4,6526,Sangerhausen,51.497699700000005,11.298190400000001
410,6.8,-16,6,79837,St. Blasien,47.7642052,8.108895500000001
411,6.8,-12,6,66386,St. Ingert,49.277596200000005,7.131236099999999
412,8.5,-10,3,24837,Schleswig,54.52230279999999,9.5661514
413,6.3,-16,10,8289,Schneeberg,50.59098290000001,12.6400263
414,6.8,-14,6,72290,Schömberg Kr. Freudenstadt (Loßburg),48.397520799999995,8.467604199999998
415,9.5,-14,4,39218,Schönebeck/Elbe,52.0091435,11.7470481
416,7.9,-16,13,91626,Schopfloch,49.1204086,10.305451199999998
417,7.9,-16,13,73614,"Schorndorf, Württ.",48.778341,9.5310295
418,8.8,-12,7,63679,"Schotten, Hess.",50.50740820000001,9.1420501
419,7.9,-16,13,91126,"Schwabach, Mittelfr.",49.317772100000006,11.0235809
420,7.9,-16,13,73525,Schwäbisch Gmünd,48.79376850000001,9.7988852
421,7.9,-16,13,74523,Schwäbisch Hall,49.125761600000004,9.7544127
422,6.3,-16,10,8340,Schwarzenberg/Erzgeb.,50.5293301,12.7701222
423,9.5,-16,4,16303,Schwedt/Oder,53.0718571,14.2862796
424,7.9,-14,13,97421,Schweinfurt,50.0444878,10.2258398
425,6.8,-12,6,58332,Schwelm,51.2829475,7.291009299999999
426,6.0,-16,8,78048,"Schwenningen, Neckar",48.0854958,8.418004400000001
427,9.5,-12,4,19053,Schwerin,53.62479279999999,11.4041715
428,8.1,-12,5,58239,"Schwerte, Ruhr",51.428929499999995,7.5656314999999985
429,8.5,-10,3,23795,"Segeberg, Bad",53.927274800000006,10.2932676
430,6.3,-18,10,95100,Selb,50.1597601,12.1187021
431,9.5,-16,4,1968,Senftenberg,51.505032299999996,13.9693262
432,8.1,-12,5,53721,Siegburg,50.80004539999999,7.2118402999999995
433,6.8,-12,6,57072,Siegen,50.8803723,7.984455400000001
434,6.8,-14,14,72488,Sigmaringen,48.101948799999995,9.178987500000002
435,6.8,-14,6,71063,Sindelfingen,48.7131518,9.000094800000001
436,7.9,-14,13,78224,"Singen, Hohentwiel",47.7670971,8.872238699999999
437,8.1,-12,5,59494,"Soest, Westf.",51.56273119999999,8.0937324
438,6.8,-12,6,42651,Solingen,51.1705488,7.092260400000001
439,9.5,-12,4,29614,Soltau,53.00570129999999,9.8309194
440,7.9,-14,9,99610,Sömmerda,51.17087,11.1651487
441,7.9,-14,9,99706,Sondershausen,51.3657675,10.8994267
442,6.3,-16,10,8355,Sonneberg,50.3601821,11.1709899
443,10.2,-12,12,67346,Speyer,49.3272223,8.4352179
444,7.9,-16,9,2742,Spremberg,51.0381065,14.527653699999998
445,8.5,-10,3,21680,Stade,53.5852809,9.463742199999999
446,9.5,-14,4,39418,Staßfurt,51.8647972,11.5822798
447,9.5,-14,4,39576,Stendal,52.563780799999996,11.8065633
448,8.1,-12,5,52222,"Stolberg, Rheinl.",50.78027909999999,6.223717400000001
449,8.4,-10,2,18437,Stralsund,54.30298209999999,13.0535231
450,3.0,-18,11,94315,Straubing,48.870329999999996,12.5765189
451,9.5,-14,4,15344,Strausberg,52.56009889999999,13.908760999999998
452,10.2,-12,12,70173,Stuttgart,48.78270269999999,9.182863000000001
453,6.3,-16,10,98527,Suhl,50.593566100000004,10.697262400000001
454,6.8,-12,6,66280,"Sulzbach, Saar",49.3022275,7.0621814
455,6.8,-18,15,83646,"Tölz, Bad",47.7479738,11.532873
456,9.5,-16,4,4860,Torgau,51.548630100000004,12.952542300000001
457,8.8,-10,7,54290,Trier,49.74957389999999,6.633381
458,6.8,-16,6,72070,Tübingen,48.5226576,9.004709599999998
459,3.0,-16,11,78532,Tuttlingen,47.9709599,8.8117805
460,8.1,-12,5,52531,Übach?Palenberg,50.9253588,6.1177074000000005
461,9.5,-14,4,29525,Uelzen,52.98284289999999,10.5961231
462,7.9,-14,13,89073,"Ulm, Donau",48.4023451,9.9978842
463,8.1,-12,5,59423,Unna,51.5314134,7.695548499999999
464,8.1,-12,5,42549,Velbert,51.33099779999999,7.0224782999999995
465,10.2,-12,12,68519,Viernheim,49.5574391,8.5760911
466,8.1,-10,5,41747,Viersen,51.252055799999994,6.3803212999999985
467,6.0,-16,8,78048,"Villingen, Schwarzwald",48.0854958,8.418004400000001
468,6.8,-12,6,66333,"Völklingen, Saar",49.2166703,6.7913570000000005
469,8.1,-10,5,46562,"Voerde, Niederrh.",51.6005212,6.654411099999999
470,10.2,-12,12,71332,Waiblingen,48.8221273,9.306819099999998
471,8.8,-14,7,34513,"Waldeck, Hess",51.2281948,9.049824699999999
472,8.1,-12,5,45731,Waltrop,51.62966340000001,7.402965399999998
473,8.1,-10,5,44649,Wanne-Eickel,51.534021,7.1547475999999985
474,9.5,-12,4,17192,Waren,53.51458909999999,12.7304761
475,7.9,-16,13,83512,Wasserburg a. Inn,48.054734499999995,12.1954235
476,8.8,-16,7,36163,Wasserkuppe,50.4982646,9.887791900000002
477,8.1,-10,5,44866,Wattenscheid,51.48282099999999,7.1281215
478,9.0,-10,1,22880,"Wedel, Holstein",53.59361170000001,9.6991755
479,6.3,-16,10,92637,"Weiden, Oberpf.",49.674352000000006,12.1489451
480,6.3,-12,10,35781,Weilburg,50.47973579999999,8.2615942
481,7.9,-14,9,99423,Weimar,50.9809955,11.323640800000002
482,6.8,-10,6,69469,"Weinheim, Bergstraße",49.5407466,8.662045299999999
483,7.9,-16,13,91781,Weissenburg in Bay,49.0272347,10.9710359
484,9.5,-14,4,6667,Weißenfels,51.209581899999996,11.9452512
485,9.5,-16,4,2943,Weißwasser,51.4269314,14.598802599999999
486,9.5,-20,4,6642,Wendelstein,51.2518124,11.5289227
487,9.5,-16,4,4886,Werdau,51.5764765,13.0853524
488,6.8,-12,6,58791,Werdohl,51.24751930000001,7.7588258
489,6.8,-12,6,42929,Wermelskirchen,51.1030829,7.2240777000000005
490,6.8,-12,6,59368,Werne a. d. Lippe,51.6705945,7.590906200000001
491,6.8,-16,6,38855,Wernigerode,51.8437498,10.7993086
492,7.9,-14,13,97877,Wertheim,49.733864200000006,9.4743245
493,8.1,-10,5,46483,Wesel,51.663334000000006,6.6192246
494,8.1,-10,5,50389,"Wesseling, Rheinl.",50.8142569,6.9787209
495,8.8,-12,7,35578,Wetzlar,50.549895,8.5162205
496,10.2,-10,12,65183,Wiesbaden,50.08302920000001,8.2387331
497,6.8,-14,6,75323,Wildbad,48.705904,8.522657299999999
498,9.0,-10,1,26382,Wilhelmshaven,53.5221495,8.111328599999998
499,8.8,-14,7,34508,"Willingen, Upland",51.3020791,8.6327185
500,8.4,-10,2,23966,Wismar,53.82319150000001,11.317473199999998
501,8.1,-12,5,58452,Witten,51.4177772,7.3264627
502,9.5,-14,4,6886,Wittenberg,51.86693959999999,12.592623300000001
503,9.5,-14,4,19322,Wittenberge,52.98855529999999,11.7933994
504,8.8,-14,7,37213,Witzenhausen,51.342462,9.8549196
505,9.5,-14,4,6766,Wolfen,51.669416299999995,12.235267
506,8.5,-14,3,38300,Wolfenbüttel,52.149294299999994,10.5617114
507,8.5,-14,3,38440,Wolfsburg,52.4206786,10.7700258
508,10.2,-12,12,67547,Worms,49.6290294,8.3703118
509,8.1,-12,5,42489,Wülfrath,51.28792139999999,7.0382833
510,6.8,-12,6,42103,Wuppertal,51.2554934,7.146606599999998
511,8.1,-12,5,52146,Würselen,50.819381400000005,6.1462316
512,7.9,-12,13,97070,Würzburg,49.795758299999996,9.933359500000002
513,9.5,-14,4,4808,Wurzen,51.380829999999996,12.8291213
514,9.5,-14,4,39249,Zeitz,51.9666346,11.880313099999999
515,9.5,-14,4,39261,Zerbst,51.962438299999995,12.0981184
516,6.3,-16,10,2763,Zittau,50.9241386,14.770122699999998
517,6.8,-12,6,66487,Zweibrücken,49.245052799999996,7.3634021999999995
518,7.9,-14,9,8056,Zwickau,50.701738399999996,12.4951376
