,Avg T,Min T,Climate Zone,PLZ,Place,Lat,Lng
115,6.8,-10,6,51766,Engelskirchen,50.975573499999996,7.4167285000000005
116,6.8,-12,6,58256,Ennepetal,51.2732165,7.362174
117,7.9,-14,9,99084,Erfurt,50.9754314,11.0261851
118,7.9,-16,13,91052,Erlangen,49.5890363,11.0118679
119,6.0,-14,8,37269,Eschwege,51.177827,10.0485055
120,8.1,-12,5,52249,"Eschweiler, Rheinl.",50.8235705,6.263640799999999
121,8.1,-10,5,45127,Essen,51.455619399999996,7.010454299999999
122,7.9,-14,13,73728,Esslingen am Neckar,48.73840560000001,9.3081095
123,10.2,-12,12,76275,Ettlingen,48.9276926,8.3989213
124,8.1,-12,5,53879,Euskirchen,50.6533185,6.7887651999999985
125,8.5,-10,3,23701,Eutin,54.10457599999999,10.655405
126,9.5,-14,4,14612,Falkensee,52.5696551,13.0751666
127,3.0,-18,11,79868,"Feldberg, Schwarzwald",47.8589626,8.037000299999999
128,6.3,-16,10,61389,Feldberg (Schmitten = Taunus),50.2593205,8.434718199999999
129,10.2,-12,12,70734,"Fellbach, Württ.",48.8053415,9.2875041
130,6.3,-16,10,95686,"Fichtelberg, Oberfr.",49.9993907,11.851073699999999
131,9.5,-16,4,3238,Finsterwalde,51.59657429999999,13.7428165
132,8.5,-10,3,24937,Flensburg,54.7849139,9.430703999999999
133,6.3,-16,10,91301,"Forchheim, Oberfr.",49.7248791,11.075837199999999
134,9.5,-16,4,3149,Forst/Lausitz,51.7307002,14.576816800000001
135,10.2,-12,12,67227,"Frankenthal, Pfalz",49.5431853,8.3512342
136,10.2,-12,12,60311,Frankfurt/Main,50.1100897,8.6822492
137,9.5,-16,4,15230,Frankfurt/Oder,52.3367474,14.5552348
138,8.1,-10,5,50226,Frechen,50.908938299999996,6.792099400000001
139,6.3,-16,10,9599,Freiberg,50.90938629999999,13.3291918
140,10.2,-12,12,79100,Freiburg i. Br.,47.9685863,7.8519788
141,7.9,-16,13,85354,Freising,48.394873700000005,11.6949987
142,8.1,-14,5,1705,Freital,51.0002571,13.6401737
143,6.8,-16,14,72250,Freudenstadt,48.4619789,8.4116631
144,7.9,-12,13,88045,Friedrichshafen,47.64098370000001,9.4531594
145,7.9,-16,13,82256,Fürstenfeldbruck,48.17870689999999,11.23683
146,9.5,-14,4,15517,Fürstenwalde/Spree,52.3680179,14.0594725
147,7.9,-16,13,90762,"Fürth, Bay",49.472339500000004,10.993087599999999
148,8.8,-14,7,36037,Fulda,50.55461,9.685095500000001
149,6.8,-18,15,82467,Garmisch-Partenkirchen,47.482056899999996,11.102979
150,8.5,-12,3,21502,Geesthacht,53.446909999999995,10.3990475
151,6.8,-16,14,73312,"Geislingen, Steige",48.610799,9.8355495
152,6.8,-12,6,63571,Gelnhausen,50.2199157,9.2226512
153,8.1,-10,5,45881,Gelsenkirchen,51.5252464,7.0818258
154,7.9,-14,9,7545,Gera,50.880521200000004,12.0805073
155,7.9,-14,13,97922,"Gerlachsheim (LaudaKönigshofen, Baden)",49.5478594,9.729432100000002
156,6.8,-12,6,58285,Gevelsberg,51.3370571,7.3522193
157,6.3,-12,10,35390,Gießen,50.5850486,8.6741668
158,8.5,-14,3,38518,Gifhorn,52.5031666,10.514581300000001
159,8.8,-14,7,34630,Gilserberg,50.9436445,9.0532996
160,8.1,-10,5,45964,"Gladbeck, Westf.",51.575666999999996,6.9903654999999985
161,6.3,-14,10,8371,Glauchau,50.8065808,12.5499009
162,9.0,-10,1,25348,Glückstadt,53.789711200000006,9.4374704
163,7.9,-14,13,73033,Göppingen,48.7098377,9.6531604
164,7.9,-16,9,2826,Görlitz,51.14819749999999,14.975408900000001
165,7.9,-16,13,91327,Gössweinstein,49.7691891,11.338396300000001
166,8.8,-14,7,99867,Gotha,50.9511526,10.6949334
167,8.8,-16,7,37073,Göttingen,51.5345284,9.9342312
168,8.5,-14,3,38640,Goslar,51.91137620000001,10.4381381
169,8.4,-12,2,17489,Greifswald,54.077777600000005,13.380355800000002
170,7.9,-16,9,7973,Greiz,50.655071,12.1936306
